Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
1000,0.00226,9,1.88,15.60108
1800,0.00404,16,3.66,30.31336
2600,0.00602,24,5.68,47.02837
3400,0.00786,31,7.53,62.34190
4200,0.00986,39,9.52,78.79903
5000,0.01194,48,11.61,96.11251
5800,0.01378,55,13.50,111.79677
6600,0.01563,63,15.39,127.45922
7400,0.01748,70,17.28,143.10096
8200,0.01931,77,19.10,158.13143
9000,0.01923,77,19.39,160.56309
9800,0.02105,84,21.23,175.83450
10600,0.02129,85,21.59,178.79738
11400,0.02296,92,23.23,192.35094
12200,0.02465,99,25.03,207.26330
13000,0.02658,106,26.87,222.51334
13800,0.02829,113,28.59,236.74435
14600,0.03011,120,30.49,252.47382
15400,0.03194,128,32.34,267.78984
16200,0.03360,134,34.00,281.56468
17000,0.03551,142,35.88,297.11633
17800,0.03733,149,37.65,311.74558
18600,0.03897,156,39.34,325.77022
19400,0.04084,163,41.17,340.89594
20200,0.04250,170,42.91,355.29268
21000,0.04372,175,44.02,364.50393
21800,0.04540,182,45.65,378.01973
22600,0.04709,188,47.45,392.89012
23400,0.04888,196,49.20,407.41573
24200,0.05063,203,50.93,421.73756
25000,0.05239,210,52.63,435.79566
25800,0.05386,215,54.12,448.14310
26600,0.05522,221,55.46,459.26446
27400,0.05684,227,57.00,471.96635
28200,0.05864,235,58.76,486.59206
29000,0.06042,242,60.45,500.57068
29800,0.06206,248,62.04,513.74312
30600,0.06377,255,63.66,527.17564
31400,0.06538,262,65.14,539.41565
32200,0.06702,268,66.61,551.59263
33000,0.06862,274,68.10,563.87937
33800,0.07038,282,69.67,576.91231
34600,0.07214,289,71.25,589.99283
35400,0.07380,295,72.71,602.08683
36200,0.07555,302,74.14,613.92557
37000,0.07743,310,75.63,626.27076
37800,0.07899,316,76.92,636.94560
38600,0.08073,323,78.27,648.12126
39400,0.08267,331,79.68,659.83929
40200,0.08441,338,80.93,670.15230
41000,0.08650,346,82.38,682.18332
41800,0.08849,354,83.64,692.56311
42600,0.09058,362,84.97,703.59947
43400,0.09273,371,86.25,714.16879
44200,0.09471,379,87.44,724.04838
45000,0.09697,388,88.58,733.53396
45800,0.09948,398,89.88,744.30876
46600,0.10189,408,91.02,753.73320
47400,0.10430,417,92.05,762.20700
48200,0.10693,428,93.19,771.67408
49000,0.10951,438,94.23,780.28761
49800,0.11220,449,95.21,788.44533
50600,0.11505,460,96.25,796.98445
51400,0.11795,472,97.19,804.84117
52200,0.12098,484,98.13,812.56449
53000,0.12413,497,99.12,820.75240
53800,0.12735,509,99.92,827.43065
54600,0.13044,522,100.71,833.95128
55400,0.13395,536,101.63,841.56143
56200,0.13722,549,102.31,847.21627
57000,0.14071,563,103.18,854.37952
57800,0.14430,577,103.92,860.54985
58600,0.14799,592,104.65,866.56278
59400,0.15153,606,105.28,871.75593
60200,0.15548,622,106.03,877.96736
61000,0.15919,637,106.69,883.47004
61800,0.16280,651,107.27,888.28283
62600,0.16700,668,108.00,894.31059
63400,0.17091,684,108.58,899.12084
64200,0.17481,699,109.16,903.92003
65000,0.17887,715,109.71,908.49502
65800,0.18296,732,110.32,913.49107
66600,0.18690,748,110.80,917.47441
67400,0.19104,764,111.33,921.90515
68200,0.19530,781,111.90,926.63680
69000,0.19929,797,112.35,930.31808
69800,0.20341,814,112.96,935.35683
70600,0.20762,830,113.42,939.19125
71400,0.21174,847,113.86,942.80686
72200,0.21581,863,114.36,946.99354
73000,0.22010,880,114.82,950.75353
73800,0.22407,896,115.25,954.37788
74600,0.22822,913,115.72,958.25006
75400,0.23249,930,116.12,961.57068
76200,0.23673,947,116.60,965.52904
77000,0.24071,963,117.00,968.83627
77800,0.24484,979,117.40,972.15696
78600,0.24882,995,117.69,974.53550
79400,0.25306,1012,118.23,979.03054
80200,0.25732,1029,118.63,982.37689
81000,0.26128,1045,118.94,984.92396
81800,0.26542,1062,119.39,988.65458
82600,0.26951,1078,119.79,991.98406
83400,0.27372,1095,120.20,995.31276
84200,0.27779,1111,120.54,998.18871
85000,0.28212,1128,120.96,1001.61057
85800,0.28610,1144,121.31,1004.51698
86600,0.29004,1160,121.55,1006.51328
87400,0.29444,1178,122.05,1010.62789
88200,0.29865,1195,122.40,1013.56247
89000,0.30254,1210,122.71,1016.13697
89800,0.30688,1228,123.15,1019.79209
90600,0.31107,1244,123.48,1022.46822
91400,0.31516,1261,123.82,1025.32085
92200,0.31903,1276,123.98,1026.67043
93000,0.32350,1294,124.55,1031.35604
93800,0.32764,1311,124.88,1034.05707
94600,0.33166,1327,125.23,1036.95543
95400,0.33609,1344,125.60,1040.02457
96200,0.34031,1361,125.92,1042.74574
97000,0.34434,1377,126.29,1045.80708
97800,0.34873,1395,126.62,1048.46256
98600,0.35272,1411,126.91,1050.87242
99400,0.35657,1426,127.12,1052.63109
100200,0.36096,1444,127.54,1056.14220
101000,0.36515,1461,127.88,1058.94846
101800,0.36924,1477,128.14,1061.11236
102600,0.37340,1494,128.48,1063.87182
103400,0.37783,1511,128.85,1066.99884
104200,0.38209,1528,129.16,1069.53907
105000,0.38601,1544,129.46,1072.05623
105800,0.39036,1561,129.70,1073.99002
106600,0.39462,1578,130.11,1077.37957
107400,0.39865,1595,130.40,1079.81326
108200,0.40284,1611,130.66,1081.96218
109000,0.40721,1629,131.00,1084.79657
109800,0.41124,1645,131.31,1087.34302
110600,0.41542,1662,131.66,1090.25281
111400,0.41975,1679,131.96,1092.67902
112200,0.42371,1695,132.16,1094.36654
113000,0.42802,1712,132.56,1097.69282
113800,0.43207,1728,132.72,1099.02881
114600,0.43639,1746,133.02,1101.46414
115400,0.44069,1763,133.43,1104.85625
116200,0.44491,1780,133.64,1106.62636
117000,0.44924,1797,133.98,1109.45544
117800,0.45338,1814,134.25,1111.67994
118600,0.45776,1831,134.59,1114.46712
119400,0.46199,1848,134.81,1116.33502
120200,0.46612,1864,135.12,1118.86434
121000,0.47059,1882,135.45,1121.62200
121800,0.47473,1899,135.68,1123.51748
122600,0.47882,1915,135.95,1125.72113
123400,0.48321,1933,136.29,1128.60709
124200,0.48740,1950,136.50,1130.33730
125000,0.49150,1966,136.77,1132.51353
125800,0.49587,1983,137.09,1135.19334
126600,0.50022,2001,137.36,1137.45438
127400,0.50464,2019,137.62,1139.58591
128200,0.50877,2035,137.89,1141.83070
129000,0.51319,2053,138.19,1144.29864
129800,0.51733,2069,138.37,1145.81650
