Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
130600,0.52146,2086,138.67,1148.24657
131400,0.52586,2103,138.98,1150.84311
132200,0.53001,2120,139.17,1152.44558
133000,0.53435,2137,139.47,1154.90007
133800,0.53854,2154,139.73,1157.02990
134600,0.54273,2171,139.97,1159.05449
135400,0.54680,2187,140.07,1159.90710
136200,0.55120,2205,140.49,1163.33842
137000,0.55548,2222,140.72,1165.26837
137800,0.55964,2239,140.90,1166.76374
138600,0.56389,2256,141.21,1169.34824
139400,0.56821,2273,141.45,1171.30091
140200,0.57250,2290,141.75,1173.75105
141000,0.57661,2306,141.94,1175.39218
141800,0.58109,2324,142.23,1177.78728
142600,0.58542,2342,142.45,1179.59209
143400,0.58948,2358,142.63,1181.09590
144200,0.59410,2376,142.96,1183.80479
145000,0.59852,2394,143.18,1185.60153
145800,0.60243,2410,143.24,1186.09838
146600,0.60703,2428,143.67,1189.64628
147400,0.61153,2446,143.92,1191.76586
148200,0.61582,2463,144.14,1193.54367
149000,0.61996,2480,144.32,1195.04657
149800,0.62449,2498,144.64,1197.68112
150600,0.62895,2516,144.84,1199.39661
151400,0.63307,2532,145.02,1200.85216
152200,0.63774,2551,145.30,1203.18759
153000,0.64209,2568,145.51,1204.89518
153800,0.64617,2585,145.67,1206.25705
154600,0.65083,2603,146.01,1209.05519
155400,0.65520,2621,146.20,1210.66359
156200,0.65938,2638,146.32,1211.59333
157000,0.66400,2656,146.64,1214.29638
157800,0.66842,2674,146.82,1215.78050
158600,0.67284,2691,147.08,1217.93740
159400,0.67689,2708,147.06,1217.79551
160200,0.68181,2727,147.53,1221.65773
161000,0.68615,2745,147.70,1223.06669
161800,0.69025,2761,147.86,1224.37880
162600,0.69506,2780,148.17,1226.96197
163400,0.69941,2798,148.33,1228.29704
164200,0.70353,2814,148.51,1229.74621
165000,0.70815,2833,148.73,1231.55271
165800,0.71271,2851,148.94,1233.34491
166600,0.71704,2868,149.12,1234.80454
167400,0.72142,2886,149.28,1236.15185
168200,0.72610,2904,149.60,1238.78341
169000,0.73048,2922,149.76,1240.10456
169800,0.73455,2938,149.88,1241.12208
170600,0.73928,2957,150.14,1243.28947
171400,0.74388,2976,150.39,1245.33796
172200,0.74806,2992,150.47,1246.03647
173000,0.75270,3011,150.74,1248.20697
173800,0.75718,3029,150.91,1249.63274
174600,0.75919,3037,150.14,1243.22774
175400,0.76280,3051,150.94,1249.91850
176200,0.76755,3070,151.39,1253.65073
177000,0.77216,3089,151.54,1254.82144
177800,0.77658,3106,151.76,1256.71187
178600,0.78125,3125,151.91,1257.91500
179400,0.78615,3145,152.18,1260.13518
180200,0.79055,3162,152.23,1260.58965
181000,0.79519,3181,152.52,1263.00750
181800,0.79984,3199,152.67,1264.17394
182600,0.80417,3217,152.71,1264.58542
183400,0.80889,3236,153.04,1267.28208
184200,0.81332,3253,153.05,1267.36689
185000,0.81823,3273,153.36,1269.96843
185800,0.82284,3291,153.59,1271.79403
186600,0.82745,3310,153.68,1272.59582
187400,0.83239,3330,153.90,1274.38213
188200,0.83675,3347,154.06,1275.75215
189000,0.84148,3366,154.25,1277.30375
189800,0.84634,3385,154.41,1278.62874
190600,0.85073,3403,154.43,1278.80538
191400,0.85549,3422,154.73,1281.29884
192200,0.85990,3440,154.65,1280.57286
193000,0.86503,3460,155.06,1284.03661
193800,0.86955,3478,155.23,1285.42304
194600,0.87422,3497,155.29,1285.88928
195400,0.87926,3517,155.54,1287.98268
196200,0.88384,3535,155.68,1289.16085
197000,0.88838,3554,155.75,1289.74185
197800,0.89358,3574,156.01,1291.83886
198600,0.89812,3592,156.12,1292.78722
199400,0.90283,3611,156.31,1294.35764
200200,0.90773,3631,156.37,1294.84208
201000,0.91259,3650,156.59,1296.70215
201800,0.91717,3669,156.75,1298.01574
202600,0.92187,3687,156.79,1298.35194
203400,0.92709,3708,157.05,1300.48198
204200,0.93175,3727,157.16,1301.36689
205000,0.93655,3746,157.28,1302.34774
205800,0.94160,3766,157.46,1303.88867
206600,0.94627,3785,157.58,1304.86470
207400,0.95116,3805,157.77,1306.40626
208200,0.95640,3826,157.89,1307.45957
209000,0.96101,3844,157.83,1306.96090
209800,0.96580,3863,158.15,1309.63116
210600,0.97027,3881,157.89,1307.42353
211400,0.97574,3903,158.39,1311.59193
212200,0.98056,3922,158.55,1312.89671
213000,0.98520,3941,158.54,1312.86173
213800,0.99047,3962,158.80,1314.98801
214600,0.99529,3981,158.92,1315.93702
215400,1.00011,4000,159.01,1316.73065
216200,1.00541,4022,159.18,1318.14088
217000,1.01005,4040,159.19,1318.20054
217800,1.01507,4060,159.43,1320.22285
218600,1.02006,4080,159.30,1319.15006
219400,1.02536,4101,159.67,1322.17362
220200,1.03012,4120,159.80,1323.21407
221000,1.03487,4139,159.67,1322.19318
221800,1.04028,4161,160.00,1324.92931
222600,1.04489,4180,160.05,1325.34221
223400,1.04963,4199,160.09,1325.67209
224200,1.05509,4220,160.31,1327.51496
225000,1.05957,4238,160.24,1326.86017
225800,1.06468,4259,160.54,1329.35517
226600,1.06996,4280,160.58,1329.69680
227400,1.07501,4300,160.74,1331.05533
228200,1.07974,4319,160.89,1332.25119
229000,1.08439,4338,160.66,1330.34032
229800,1.08985,4359,160.99,1333.13912
230600,1.09449,4378,161.09,1333.93308
231400,1.09923,4397,161.08,1333.87723
232200,1.10456,4418,161.29,1335.62846
233000,1.10880,4435,161.12,1334.16895
233800,1.11351,4454,161.45,1336.91509
234600,1.04197,4168,152.98,1266.75514
235400,1.04464,4179,155.15,1284.77227
236200,1.04687,4187,156.83,1298.65143
237000,1.04876,4195,158.23,1310.23510
237800,1.05001,4200,158.83,1315.25479
238600,1.05237,4209,160.05,1325.30572
239400,1.05476,4219,160.71,1330.77904
240200,1.05745,4230,160.98,1333.01840
241000,1.06107,4244,161.45,1336.90109
241800,1.06495,4260,161.68,1338.79045
242600,1.06926,4277,161.88,1340.50092
243400,1.07359,4294,161.81,1339.86903
244200,1.07835,4313,162.11,1342.41702
245000,1.08294,4332,162.22,1343.27183
245800,1.08715,4349,161.68,1338.85649
246600,1.09230,4369,162.34,1344.27305
247400,1.09705,4388,162.43,1345.03810
248200,1.10157,4406,162.35,1344.37196
249000,1.10638,4426,162.49,1345.56817
249800,1.11120,4445,162.63,1346.65600
250600,1.11587,4463,162.68,1347.11936
251400,1.12068,4483,162.52,1345.79372
252200,1.12582,4503,162.85,1348.53280
253000,1.13066,4523,162.94,1349.29244
253800,1.13545,4542,162.63,1346.72886
254600,1.14039,4562,163.06,1350.22427
255400,1.14540,4582,163.16,1351.06199
256200,1.15014,4601,163.03,1349.97558
257000,1.15527,4621,163.16,1351.07036
257800,1.16052,4642,163.39,1352.94269
258600,1.16534,4661,163.26,1351.93755
259400,1.17055,4682,163.11,1350.67629
260200,1.17583,4703,163.56,1354.36298
261000,1.18092,4724,163.63,1354.93146
261800,1.18630,4745,163.50,1353.91589
262600,1.19110,4764,163.72,1355.72901
263400,1.19644,4786,163.84,1356.70319
264200,1.20141,4806,163.61,1354.82133
265000,1.20680,4827,163.87,1356.97662
265800,1.21230,4849,164.05,1358.41788
266600,1.21737,4869,163.87,1356.93414
267400,1.22303,4892,163.88,1357.00576
268200,1.22833,4913,164.16,1359.36983
269000,1.23365,4935,164.25,1360.06343
269800,1.23929,4957,164.23,1359.91724
270600,1.24409,4976,164.30,1360.55098
271400,1.24961,4998,164.44,1361.69473
272200,1.25169,5011,163.56,1354.39701
273000,1.25158,5002,163.46,1353.52755
273800,1.25177,5002,163.32,1352.42997
274600,1.25127,5002,162.93,1349.19656
275400,1.25099,5001,162.87,1348.70881
276200,1.25107,5001,162.72,1347.47376
277000,1.25213,5003,162.66,1346.97070
277800,1.25072,5001,162.55,1346.00068
278600,1.25086,5001,162.40,1344.80682
279400,1.25131,5002,162.43,1345.04204
280200,1.25171,5002,161.85,1340.22674
284500,1.25750,5010,162.51,1345.69819
285300,1.26975,5026,163.23,1351.66558
286100,1.28341,5045,163.68,1355.35088
286900,1.29774,5064,164.11,1358.97528
287700,1.30962,5079,164.46,1361.82270
288500,1.32368,5098,164.72,1363.95625
289300,1.33677,5116,164.51,1362.28829
290100,1.35038,5134,164.95,1365.91731
290900,1.36371,5152,165.01,1366.40205
291700,1.37712,5169,164.62,1363.19283
292500,1.39108,5188,165.12,1367.31334
293300,1.40383,5205,165.17,1367.73596
294100,1.41763,5224,165.03,1366.60101
294900,1.43092,5241,165.22,1368.16829
295700,1.44484,5260,165.32,1368.92649
296500,1.45784,5277,165.31,1368.88732
297300,1.47045,5294,165.17,1367.74690
298100,1.48411,5312,165.39,1369.56248
298900,1.49745,5330,165.43,1369.85857
299700,1.51171,5349,164.94,1365.80336
300500,1.52392,5365,165.46,1370.12091
301300,1.53750,5383,165.53,1370.69167
302100,1.55046,5401,165.37,1369.38260
302900,1.56354,5418,165.54,1370.77501
303700,1.57739,5437,165.60,1371.24161
304500,1.59098,5455,165.65,1371.67291
305300,1.60459,5473,165.44,1369.97889
306100,1.61781,5490,165.67,1371.88740
306900,1.63053,5507,165.73,1372.35979
307700,1.64535,5527,165.13,1367.36011
308500,1.65750,5543,165.74,1372.42509
309300,1.67110,5561,165.81,1373.04715
310100,1.68432,5579,165.69,1371.98811
310900,1.69730,5596,165.82,1373.08604
311700,1.71062,5614,165.87,1373.52363
312500,1.72420,5632,165.90,1373.76140
313300,1.73758,5650,165.76,1372.63529
314100,1.75121,5668,165.91,1373.82870
314900,1.76421,5686,165.98,1374.43097
315700,1.77849,5705,165.29,1368.72089
316500,1.79091,5721,165.99,1374.48313
317300,1.80451,5739,166.09,1375.37584
318100,1.81779,5757,165.93,1373.99596
318900,1.83136,5775,166.07,1375.20888
319700,1.84402,5792,166.11,1375.52790
320500,1.85723,5810,166.16,1375.91648
321300,1.87169,5829,166.09,1375.33273
322100,1.88388,5845,166.17,1375.96877
322900,1.89812,5864,166.25,1376.62487
323700,1.91171,5882,165.51,1370.55364
324500,1.92503,5900,166.26,1376.72982
325300,1.93746,5917,166.29,1377.01662
326100,1.95054,5934,166.16,1375.88083
326900,1.96457,5953,166.29,1377.02784
327700,1.97769,5970,166.33,1377.29492
328500,1.99131,5988,166.33,1377.33151
329300,2.00431,6006,166.25,1376.64102
330100,2.01786,6024,166.32,1377.28004
330900,2.03168,6042,166.40,1377.88249
331700,2.04457,6059,165.82,1373.11210
332500,2.05736,6076,166.40,1377.91489
333300,2.07136,6095,166.44,1378.22140
334100,2.08445,6113,166.27,1376.86075
334900,2.09747,6130,166.42,1378.03283
335700,2.11106,6148,166.43,1378.14953
336500,2.12400,6165,166.43,1378.12350
337300,2.13693,6183,166.33,1377.34463
338100,2.15053,6201,166.41,1377.99851
338900,2.16522,6220,166.49,1378.64895
339700,2.17902,6239,165.94,1374.10667
340500,2.19139,6255,166.45,1378.28940
341300,2.20414,6272,166.49,1378.63081
342100,2.21835,6291,166.32,1377.22320
342900,2.23131,6308,166.41,1378.00528
343700,2.24439,6326,166.46,1378.38343
344500,2.25766,6344,166.48,1378.59985
345300,2.27128,6362,166.36,1377.57156
346100,2.28543,6381,166.43,1378.13957
346900,2.29822,6398,166.49,1378.63136
347700,2.31224,6416,165.94,1374.10839
348500,2.32456,6433,166.43,1378.12463
349300,2.33805,6451,166.47,1378.47868
350100,2.35095,6468,166.28,1376.94086
350900,2.36406,6485,166.38,1377.71550
351700,2.37789,6504,166.40,1377.87779
352500,2.39169,6522,166.40,1377.94092
353300,2.40430,6539,166.24,1376.55267
354100,2.41773,6557,166.34,1377.42305
354900,2.43170,6576,166.36,1377.60376
355700,2.44541,6594,165.82,1373.12597
356500,2.45770,6610,166.29,1376.98139
357300,2.47100,6628,166.32,1377.27382
358100,2.48430,6646,166.09,1375.38014
358900,2.49804,6664,166.20,1376.26320
359700,2.51115,6682,166.21,1376.29304
360500,2.52534,6700,166.20,1376.23692
361300,2.53731,6716,165.96,1374.24892
362100,2.55170,6736,166.11,1375.46631
362900,2.56462,6753,166.12,1375.62486
363700,2.57866,6772,165.57,1371.04061
364500,2.59072,6788,166.01,1374.70905
365300,2.60459,6806,166.03,1374.83798
366100,2.61851,6825,165.80,1372.96992
366900,2.63094,6841,165.87,1373.48115
367700,2.64480,6860,165.86,1373.41039
368500,2.65776,6877,165.81,1372.99279
369300,2.67039,6894,165.52,1370.63906
370100,2.68475,6913,165.68,1371.96655
370900,2.69744,6930,165.66,1371.77955
371700,2.71191,6949,165.11,1367.20733
372500,2.72454,6966,165.55,1370.86058
373300,2.73767,6984,165.49,1370.36378
374100,2.75068,7001,165.25,1368.40389
374900,2.76454,7019,165.28,1368.59367
375700,2.77742,7037,165.24,1368.32980
376500,2.79193,7056,165.19,1367.87915
377300,2.80426,7072,164.83,1364.92761
378100,2.81768,7090,165.02,1366.44898
378900,2.83169,7109,164.98,1366.14313
379700,2.84463,7126,164.43,1361.60575
380500,2.85693,7143,164.79,1364.58473
381300,2.87134,7162,164.72,1363.95792
382100,2.88520,7180,164.47,1361.89429
382900,2.89790,7197,164.38,1361.21724
383700,2.91198,7216,164.39,1361.27794
384500,2.92485,7233,164.31,1360.56771
385300,2.93765,7250,163.93,1357.42308
386100,2.95146,7269,164.07,1358.57282
386900,2.96568,7288,164.02,1358.23856
387700,2.97847,7305,163.48,1353.76853
388500,2.99128,7322,163.78,1356.22962
389300,3.00570,7341,163.72,1355.74291
390100,3.01766,7357,163.42,1353.21190
390900,3.03134,7375,163.30,1352.23751
391700,3.04452,7393,163.32,1352.36530
392500,3.05813,7411,163.20,1351.42314
393300,3.07210,7429,162.77,1347.80862
394100,3.08488,7447,162.92,1349.07104
394900,3.09895,7465,162.86,1348.60354
395700,3.11287,7484,162.35,1344.34586
396500,3.12464,7500,162.56,1346.06879
397300,3.13801,7517,162.49,1345.51801
398100,3.15183,7536,162.15,1342.75557
398900,3.16446,7553,162.07,1342.01279
399700,3.17744,7570,162.03,1341.75051
400500,3.19222,7590,161.91,1340.71633
401300,3.20616,7608,161.45,1336.89071
402100,3.21754,7623,161.61,1338.26303
402900,3.23091,7641,161.55,1337.76146
403700,3.24551,7661,161.07,1333.73293
404500,3.25741,7677,161.25,1335.28048
405300,3.27189,7696,161.21,1334.90567
406100,3.28548,7714,160.81,1331.64335
406900,3.29821,7731,160.77,1331.30710
407700,3.31186,7749,160.75,1331.15424
408500,3.32513,7767,160.50,1329.08942
409300,3.33853,7785,160.27,1327.16286
410100,3.35144,7802,160.23,1326.81193
410900,3.36506,7820,159.51,1320.84115
411700,3.37857,7838,159.75,1322.84870
412500,3.39209,7856,159.63,1321.87250
413300,3.40490,7873,159.12,1317.64355
414100,3.41810,7891,159.05,1317.05105
414900,3.43211,7909,158.82,1315.12839
415700,3.44504,7927,158.61,1313.38036
416500,3.45858,7945,158.43,1311.93569
417300,3.47124,7962,157.73,1306.14810
418100,3.48470,7980,157.92,1307.70235
418900,3.49829,7998,157.58,1304.84557
419700,3.51210,8016,157.42,1303.58671
420500,3.52505,8033,157.05,1300.48782
421300,3.53777,8050,157.14,1301.21974
422100,3.55133,8068,156.88,1299.06619
422900,3.56430,8086,156.75,1298.00404
423700,3.57788,8104,156.44,1295.44690
424500,3.59117,8122,156.47,1295.65101
425300,3.60508,8140,156.02,1291.91439
426100,3.61831,8158,155.85,1290.54980
426900,3.63187,8176,155.42,1286.95902
427700,3.64544,8194,154.68,1280.82906
428500,3.65762,8210,154.92,1282.83411
429300,3.67216,8230,154.49,1279.27514
430100,3.68443,8246,154.20,1276.90419
430900,3.69821,8264,153.86,1274.10160
431700,3.71084,8281,153.87,1274.14625
432500,3.72479,8300,153.72,1272.93217
433300,3.73849,8318,153.53,1271.37237
434100,3.75177,8336,153.44,1270.55281
434900,3.76532,8354,153.27,1269.21759
435700,3.77803,8371,153.17,1268.33637
436500,3.79182,8389,152.91,1266.18263
437300,3.80559,8407,152.81,1265.41253
438100,3.81850,8425,152.64,1264.00412
438900,3.83147,8442,152.45,1262.42726
439700,3.84551,8461,152.27,1260.86861
440500,3.85757,8477,152.04,1258.99477
