Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
1000,0.00173,7,1.80,14.92950
1800,0.00364,15,3.70,30.62572
2600,0.00537,21,5.49,45.43728
3400,0.00712,28,7.23,59.85934
4200,0.00916,37,9.29,76.96227
5000,0.01140,46,11.50,95.23585
5800,0.01328,53,13.38,110.82432
6600,0.01508,60,15.19,125.79662
7400,0.01683,67,16.98,140.59622
8200,0.01864,75,18.82,155.87516
9000,0.02053,82,20.72,171.57743
9800,0.02104,84,21.14,175.07622
10600,0.02271,91,22.82,188.97742
11400,0.02453,98,24.61,203.80105
12200,0.02517,101,25.33,209.76403
13000,0.02691,108,27.05,223.98359
13800,0.02868,115,28.82,238.63253
14600,0.03044,122,30.48,252.43689
15400,0.03222,129,32.28,267.29281
16200,0.03402,136,34.00,281.57904
17000,0.03586,143,35.83,296.67969
17800,0.03762,150,37.50,310.49436
18600,0.03947,158,39.25,324.99505
19400,0.04117,165,40.87,338.42500
20200,0.04299,172,42.59,352.68310
21000,0.04475,179,44.19,365.88756
21800,0.04631,185,45.58,377.42420
22600,0.04799,192,47.18,390.68380
23400,0.04965,199,48.63,402.66822
24200,0.05149,206,50.24,415.98329
25000,0.05313,213,51.64,427.59128
25800,0.05489,220,53.07,439.49255
26600,0.05690,228,54.73,453.23925
27400,0.05879,235,56.21,465.44831
28200,0.06066,243,57.69,477.70894
29000,0.06264,251,59.22,490.34907
29800,0.06439,258,60.59,501.73853
30600,0.06618,265,61.97,513.16992
31400,0.06802,272,63.34,524.46033
32200,0.07001,280,64.77,536.31113
33000,0.07189,288,66.11,547.45646
33800,0.07382,295,67.47,558.66579
34600,0.07589,304,68.90,570.56262
35400,0.07778,311,70.23,581.58103
36200,0.07969,319,71.53,592.35052
37000,0.08175,327,72.90,603.63317
37800,0.08360,334,74.14,613.93784
38600,0.08575,343,75.49,625.11757
39400,0.08782,351,76.77,635.67135
40200,0.08981,359,77.99,645.82840
41000,0.09182,367,79.20,655.81445
41800,0.09405,376,80.56,667.05257
42600,0.09614,385,81.73,676.81600
43400,0.09815,393,82.82,685.81670
44200,0.10055,402,84.21,697.30651
45000,0.10276,411,85.33,706.61596
45800,0.10507,420,86.47,716.07114
46600,0.10737,429,87.62,725.52849
47400,0.10975,439,88.71,734.59628
48200,0.11212,448,89.76,743.28809
