Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
515900,4.01776,8790,163.40,1331.48736
516700,4.03224,8810,163.42,1331.63475
517500,4.04490,8827,163.10,1329.07964
518300,4.05874,8845,163.08,1328.89119
519100,4.07143,8862,162.65,1325.38357
519900,4.08427,8879,162.80,1326.60364
520700,4.09846,8898,162.63,1325.20397
521500,4.11144,8915,162.36,1323.03710
522300,4.12542,8934,162.08,1320.74647
523100,4.13853,8951,162.23,1321.95385
523900,4.15166,8969,161.57,1316.55873
524700,4.16546,8987,161.86,1318.93347
525500,4.17873,9005,161.57,1316.62962
526300,4.19101,9021,161.59,1316.78793
527100,4.20485,9040,161.43,1315.42644
527900,4.21813,9058,161.17,1313.34464
528700,4.23057,9074,160.94,1311.48850
529500,4.24526,9094,160.98,1311.74941
530300,4.25829,9111,160.71,1309.58289
531100,4.27174,9129,160.58,1308.53873
531900,4.28526,9147,160.31,1306.30196
532700,4.29765,9164,160.28,1306.11513
533500,4.31206,9183,160.15,1305.03071
534300,4.32526,9200,159.69,1301.24979
535100,4.33842,9218,159.78,1302.02634
535900,4.35172,9236,159.71,1301.42578
536700,4.36498,9253,159.47,1299.49985
537500,4.37818,9271,159.28,1297.93377
538300,4.39113,9288,158.95,1295.24037
539100,4.40433,9306,158.99,1295.58131
539900,4.41848,9325,158.86,1294.50788
540700,4.43213,9343,158.35,1290.33131
541500,4.44454,9359,158.47,1291.34189
542300,4.45855,9378,158.39,1290.65733
543100,4.47193,9396,158.12,1288.46221
543900,4.48540,9414,157.93,1286.91562
544700,4.49786,9430,157.66,1284.74987
545500,4.51230,9450,157.61,1284.30314
546300,4.52525,9467,157.43,1282.82022
547100,4.53841,9485,157.19,1280.89991
547900,4.55154,9502,156.97,1279.10552
548700,4.56419,9519,156.80,1277.69602
549500,4.57882,9538,156.69,1276.84673
550300,4.59154,9555,156.54,1275.63360
551100,4.60517,9574,155.84,1269.88793
551900,4.61857,9591,156.14,1272.34165
552700,4.63154,9609,155.98,1271.02738
553500,4.64583,9628,155.74,1269.09626
554300,4.65814,9644,155.52,1267.28826
555100,4.67123,9662,155.30,1265.53895
555900,4.68515,9680,155.07,1263.62817
