Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
1000,0.00182,7,2.09,17.04451
1800,0.00382,15,4.05,32.96882
2600,0.00550,22,5.77,47.04678
3400,0.00731,29,7.64,62.23746
4200,0.00938,38,9.82,79.98717
5000,0.01131,45,11.75,95.77048
5800,0.01322,53,13.71,111.69557
6600,0.01505,60,15.61,127.18362
7400,0.01691,68,17.47,142.39379
8200,0.01879,75,19.38,157.91958
9000,0.02050,82,21.15,172.31300
9800,0.02226,89,22.99,187.36161
10600,0.02282,91,23.51,191.58104
11400,0.02453,98,25.19,205.24773
12200,0.02482,99,25.63,208.84967
13000,0.02667,107,27.46,223.78437
13800,0.02851,114,29.34,239.06354
14600,0.03024,121,31.06,253.06221
15400,0.03196,128,32.79,267.22824
16200,0.03369,135,34.59,281.85382
17000,0.03537,141,36.36,296.26630
17800,0.03715,149,38.13,310.67420
18600,0.03899,156,39.91,325.24696
19400,0.04070,163,41.66,339.45228
20200,0.04248,170,43.35,353.21213
21000,0.04423,177,44.99,366.61508
21800,0.04573,183,46.56,379.39941
22600,0.04731,189,48.10,391.93520
23400,0.04896,196,49.67,404.76804
24200,0.05063,203,51.31,418.13118
25000,0.05236,209,52.89,431.01355
25800,0.05387,215,54.43,443.50449
26600,0.05538,222,55.82,454.86649
27400,0.05703,228,57.22,466.24740
28200,0.05887,235,58.93,480.17580
29000,0.06067,243,60.49,492.95376
29800,0.06240,250,62.02,505.39037
30600,0.06422,257,63.50,517.41724
31400,0.06592,264,64.91,528.96197
32200,0.06766,271,66.33,540.53670
33000,0.06955,278,67.79,552.37712
33800,0.07155,286,69.29,564.62136
34600,0.07347,294,70.64,575.62752
35400,0.07536,301,71.95,586.28520
36200,0.07738,310,73.32,597.47270
37000,0.07942,318,74.61,607.94383
37800,0.08144,326,75.83,617.92982
38600,0.08359,334,77.13,628.47344
39400,0.08587,343,78.38,638.71467
40200,0.08801,352,79.52,648.02400
41000,0.09055,362,80.75,658.01733
41800,0.09288,372,81.88,667.23975
42600,0.09536,381,83.01,676.43336
43400,0.09782,391,84.08,685.12992
44200,0.10044,402,85.17,694.01968
45000,0.10299,412,86.17,702.15634
45800,0.10567,423,87.18,710.41033
46600,0.10843,434,88.18,718.56109
47400,0.11128,445,89.20,726.86602
48200,0.11385,455,89.97,733.13361
49000,0.11696,468,91.02,741.73842
49800,0.11977,479,91.85,748.42241
50600,0.12276,491,92.74,755.71905
51400,0.12575,503,93.65,763.11909
52200,0.12881,515,94.47,769.83162
53000,0.13188,528,95.25,776.15997
53800,0.13498,540,96.08,782.96956
54600,0.13799,552,96.76,788.46517
55400,0.14128,565,97.63,795.56899
56200,0.14450,578,98.41,801.94032
57000,0.14757,590,99.13,807.75931
57800,0.15098,604,99.87,813.82528
58600,0.15421,617,100.59,819.65540
59400,0.15744,630,101.20,824.67501
60200,0.16095,644,102.02,831.34585
61000,0.16419,657,102.70,836.87751
61800,0.16739,670,103.33,842.03497
62600,0.17070,683,103.96,847.14087
63400,0.17417,697,104.59,852.31129
64200,0.17754,710,105.24,857.57256
65000,0.18079,723,105.81,862.23245
65800,0.18451,738,106.59,868.55177
66600,0.18803,752,107.15,873.10245
67400,0.19136,765,107.71,877.69953
68200,0.19478,779,108.29,882.45266
69000,0.19847,794,108.97,887.96370
69800,0.20197,808,109.53,892.54050
70600,0.20539,822,110.03,896.64082
71400,0.20904,836,110.67,901.85660
72200,0.21267,851,111.23,906.40144
73000,0.21613,865,111.73,910.47741
73800,0.21956,878,112.28,914.97564
74600,0.22326,893,112.83,919.44679
75400,0.22678,907,113.34,923.55743
76200,0.23023,921,113.81,927.39791
77000,0.23385,935,114.37,931.99211
77800,0.23771,951,114.93,936.57274
78600,0.24119,965,115.31,939.65185
79400,0.24464,979,115.79,943.52651
80200,0.24850,994,116.40,948.51491
81000,0.25219,1009,116.86,952.23842
81800,0.25567,1023,117.30,955.81931
82600,0.25921,1037,117.79,959.83261
83400,0.26318,1053,118.29,963.93443
84200,0.26690,1068,118.75,967.66193
85000,0.27047,1082,119.01,969.81410
85800,0.27426,1097,119.65,975.00704
86600,0.27804,1112,120.12,978.86197
87400,0.28184,1127,120.55,982.35689
88200,0.28551,1142,120.97,985.76904
89000,0.28916,1157,121.35,988.86837
89800,0.29308,1172,121.84,992.80759
90600,0.29680,1187,122.26,996.29937
91400,0.30031,1201,122.51,998.31025
92200,0.30432,1217,123.10,1003.11123
93000,0.30818,1233,123.50,1006.37522
93800,0.31183,1247,123.78,1008.67649
94600,0.31569,1263,124.31,1012.96715
95400,0.31947,1278,124.64,1015.64791
96200,0.32335,1293,125.10,1019.38469
97000,0.32695,1308,125.48,1022.51211
97800,0.33073,1323,125.67,1024.07999
98600,0.33481,1339,126.26,1028.82371
99400,0.33875,1355,126.68,1032.28132
100200,0.34256,1370,127.08,1035.56827
101000,0.34640,1386,127.41,1038.24662
101800,0.35024,1401,127.73,1040.84595
102600,0.35400,1416,128.11,1043.95454
103400,0.35780,1431,128.51,1047.23336
104200,0.36182,1447,128.79,1049.50649
105000,0.36568,1463,129.20,1052.80781
105800,0.36938,1478,129.56,1055.75165
106600,0.37354,1494,129.95,1058.90961
107400,0.37753,1510,130.29,1061.71056
108200,0.38138,1526,130.58,1064.09351
109000,0.38535,1541,130.98,1067.30757
109800,0.38926,1557,131.29,1069.88553
110600,0.39342,1574,131.66,1072.88674
111400,0.39732,1589,131.97,1075.36330
112200,0.40087,1603,132.22,1077.41575
113000,0.40512,1620,132.69,1081.24842
113800,0.40903,1636,132.96,1083.44941
114600,0.41290,1652,133.20,1085.38051
115400,0.41669,1667,133.60,1088.67186
116200,0.42076,1683,133.95,1091.49042
117000,0.42482,1699,134.29,1094.32474
117800,0.42838,1714,134.50,1095.99246
118600,0.43224,1729,134.80,1098.41219
119400,0.43656,1746,135.22,1101.90432
120200,0.44051,1762,135.52,1104.33683
121000,0.44412,1776,135.59,1104.91986
121800,0.44848,1794,136.12,1109.18750
122600,0.45262,1810,136.46,1111.95200
123400,0.45662,1826,136.74,1114.22127
124200,0.46019,1841,136.97,1116.11280
125000,0.46436,1857,137.28,1118.63305
125800,0.46849,1874,137.62,1121.44111
126600,0.47239,1890,137.90,1123.68714
127400,0.47624,1905,138.16,1125.84431
128200,0.48024,1921,138.49,1128.49682
129000,0.48424,1937,138.76,1130.68754
129800,0.48846,1954,139.04,1132.99230
130600,0.49230,1969,139.35,1135.48773
131400,0.49640,1986,139.54,1137.04886
132200,0.50046,2002,139.89,1139.94867
133000,0.50424,2017,140.12,1141.77181
133800,0.50842,2034,140.50,1144.86661
134600,0.51245,2050,140.73,1146.79713
135400,0.51644,2066,140.95,1148.59944
136200,0.52033,2081,141.23,1150.84887
137000,0.52431,2097,141.55,1153.45391
137800,0.52860,2114,141.82,1155.62100
138600,0.53247,2130,142.04,1157.42371
139400,0.53623,2145,142.30,1159.56772
140200,0.54053,2162,142.63,1162.29283
141000,0.54459,2178,142.87,1164.23119
141800,0.54845,2194,143.00,1165.23399
142600,0.55234,2209,143.31,1167.83202
143400,0.55657,2226,143.69,1170.87963
144200,0.56073,2243,143.90,1172.59731
145000,0.56462,2258,144.14,1174.57874
145800,0.56833,2273,144.35,1176.27218
146600,0.57271,2291,144.69,1179.07477
147400,0.57667,2307,144.88,1180.62902
148200,0.58078,2323,145.12,1182.53007
149000,0.58453,2338,145.34,1184.36366
149800,0.58858,2354,145.56,1186.16532
150600,0.59286,2371,145.86,1188.60146
151400,0.59698,2388,146.12,1190.71668
153000,0.60504,2420,146.61,1194.69220
153800,0.60906,2436,146.87,1196.83149
154600,0.61313,2453,146.99,1197.77468
155400,0.61708,2468,147.30,1200.28652
156200,0.62109,2484,147.46,1201.65105
157000,0.62533,2501,147.76,1204.06269
157800,0.62905,2516,147.93,1205.41141
158600,0.63332,2533,148.22,1207.82300
159400,0.63740,2550,148.44,1209.59890
160200,0.64115,2565,148.57,1210.67354
161000,0.64531,2581,148.80,1212.53384
161800,0.64916,2597,149.08,1214.83139
162600,0.65335,2613,149.27,1216.33080
163400,0.65717,2629,149.47,1217.98420
164200,0.66044,2642,149.54,1218.56429
165000,0.66469,2659,149.87,1221.26958
177800,0.66737,2769,152.00,1238.64099
178600,0.67095,2784,152.19,1240.19290
179400,0.67447,2798,152.32,1241.24280
180200,0.67806,2812,152.54,1243.03782
181000,0.68147,2826,152.73,1244.56153
182600,0.68811,2852,152.94,1246.29863
183400,0.69060,2862,153.03,1247.02689
184200,0.69366,2875,153.13,1247.78335
185000,0.69641,2886,153.27,1248.95881
186600,0.70203,2908,153.57,1251.44105
187400,0.70507,2920,153.77,1253.05260
188200,0.70886,2935,153.97,1254.65183
189000,0.71214,2949,154.10,1255.74876
189800,0.71483,2959,154.13,1255.97530
190600,0.71886,2975,154.47,1258.72704
191400,0.72238,2990,154.65,1260.17821
192200,0.72614,3005,154.67,1260.32426
193000,0.72920,3017,154.85,1261.82611
193800,0.73264,3031,155.00,1263.06111
194600,0.73653,3046,155.24,1265.00916
195400,0.74008,3060,155.36,1265.99264
197000,0.74673,3087,155.66,1268.42085
197800,0.75024,3101,155.84,1269.87667
198600,0.75397,3116,155.92,1270.56668
199400,0.75698,3128,156.06,1271.73107
201000,0.76414,3157,156.37,1274.19593
201800,0.76753,3170,156.42,1274.64612
202600,0.77067,3183,156.60,1276.06327
203400,0.77410,3196,156.73,1277.12416
204200,0.77740,3210,156.76,1277.42046
205000,0.78110,3224,156.85,1278.16299
205800,0.78412,3236,157.14,1280.52319
207400,0.79149,3266,157.44,1282.97084
209000,0.79791,3292,157.66,1284.71309
209800,0.80133,3305,157.82,1286.06561
211400,0.80817,3333,157.67,1284.77611
212200,0.81160,3346,158.19,1289.08349
213000,0.81534,3361,158.34,1290.26088
213800,0.81892,3376,158.48,1291.41844
214600,0.82173,3387,157.98,1287.30560
215400,0.82572,3403,158.71,1293.30741
216200,0.82927,3417,158.86,1294.53352
217000,0.83310,3432,158.98,1295.45058
217800,0.83596,3444,158.60,1292.34855
218600,0.83937,3457,159.07,1296.24257
219400,0.84365,3475,159.38,1298.73496
220200,0.84721,3489,159.50,1299.75704
221000,0.84984,3499,158.77,1293.73705
221800,0.85405,3516,159.69,1301.30151
222600,0.85746,3530,159.82,1302.33279
223400,0.86125,3545,159.93,1303.23161
224200,0.86390,3556,159.63,1300.77936
225000,0.86710,3568,159.90,1302.95921
225800,0.87101,3584,160.25,1305.81186
226600,0.87426,3597,160.32,1306.38238
227400,0.87730,3609,160.07,1304.36204
228200,0.88079,3623,160.52,1308.00843
229000,0.88416,3637,160.54,1308.22028
229800,0.88807,3652,160.81,1310.37551
230600,0.89094,3664,160.59,1308.59526
231400,0.89473,3679,160.89,1311.04833
232200,0.89855,3694,161.14,1313.06612
233000,0.90207,3708,161.20,1313.57062
233800,0.90545,3722,161.06,1312.42701
234600,0.90925,3737,161.48,1315.84663
235400,0.91261,3750,161.19,1313.48062
236200,0.91701,3768,161.72,1317.82625
237000,0.92025,3781,161.57,1316.60314
237800,0.92431,3797,161.92,1319.43841
238600,0.92812,3812,162.05,1320.48294
239400,0.93187,3827,162.03,1320.31856
240200,0.93542,3842,161.98,1319.93895
241000,0.93924,3857,162.34,1322.90058
241800,0.94341,3874,162.46,1323.82226
242600,0.94734,3889,162.57,1324.72840
243400,0.95047,3902,162.29,1322.45477
244200,0.95484,3919,162.76,1326.28926
245000,0.95873,3935,162.90,1327.44880
245800,0.96230,3949,162.55,1324.56979
246600,0.96607,3964,162.84,1326.95226
247400,0.97003,3980,163.20,1329.87495
248200,0.97425,3997,163.29,1330.59714
249000,0.97823,4013,163.41,1331.56097
249800,0.98145,4026,163.09,1328.98358
250600,0.98576,4043,163.52,1332.51737
251400,0.98931,4057,163.48,1332.11498
252200,0.92054,3782,157.82,1286.02682
253000,0.92125,3785,158.34,1290.30764
253800,0.92241,3790,159.19,1297.18151
254600,0.92397,3796,160.37,1306.77709
255400,0.92513,3801,161.10,1312.75395
256200,0.92551,3802,161.09,1312.66950
257000,0.92738,3810,162.16,1321.38512
257800,0.92930,3817,162.71,1325.88690
258600,0.93201,3828,163.30,1330.72080
259400,0.93378,3835,163.21,1329.98755
260200,0.93634,3845,163.30,1330.70514
261000,0.94040,3862,163.97,1336.18641
261800,0.94416,3877,164.19,1337.96743
262600,0.94752,3890,164.09,1337.12485
263400,0.95137,3905,164.32,1338.98542
264200,0.95534,3921,164.35,1339.23669
265000,0.95988,3940,164.60,1341.30635
265800,0.96342,3954,164.56,1340.92040
266600,0.96780,3971,164.67,1341.83653
267400,0.97189,3988,164.78,1342.72158
268200,0.97573,4003,164.73,1342.35727
269000,0.97963,4019,164.85,1343.32414
269800,0.98373,4035,165.02,1344.72701
270600,0.98719,4049,164.51,1340.51376
271400,0.99173,4067,165.16,1345.82605
272200,0.99518,4081,165.13,1345.60938
273000,0.99932,4097,165.29,1346.93297
273800,1.00350,4114,165.41,1347.90964
274600,1.00740,4130,165.35,1347.43148
275400,1.01128,4145,165.44,1348.14255
276200,1.01557,4162,165.65,1349.87480
277000,1.02024,4181,165.76,1350.70880
277800,1.02450,4198,165.83,1351.30874
278600,1.02816,4213,165.69,1350.19903
279400,1.03314,4233,166.02,1352.81917
280200,1.03760,4250,166.12,1353.70425
281000,1.04200,4268,165.88,1351.70650
281800,1.04606,4284,166.09,1353.41958
282600,1.05063,4303,166.33,1355.37147
283400,1.05540,4322,166.41,1355.99652
284200,1.05999,4340,166.51,1356.82669
285000,1.06353,4354,166.21,1354.40405
285800,1.06882,4375,166.64,1357.91623
286600,1.07332,4393,166.69,1358.32536
287400,1.07835,4413,166.80,1359.24890
288200,1.08220,4429,166.75,1358.78435
289000,1.08669,4447,166.80,1359.24050
289800,1.09180,4467,166.99,1360.76374
290600,1.09641,4486,167.08,1361.52079
291400,1.10050,4502,166.94,1360.37130
292200,1.10542,4522,167.20,1362.44208
293000,1.10989,4540,167.20,1362.49298
293800,1.11512,4560,167.35,1363.68042
294600,1.11902,4576,167.35,1363.69462
295400,1.12333,4593,167.13,1361.85989
296200,1.12855,4614,167.50,1364.92658
297000,1.13304,4632,167.59,1365.68279
297800,1.13738,4650,167.60,1365.70672
298600,1.14219,4669,167.70,1366.56508
299400,1.14672,4687,167.64,1366.09321
300200,1.15192,4708,167.83,1367.63751
301000,1.15602,4724,167.84,1367.72284
301800,1.16095,4744,167.88,1368.02441
302600,1.16560,4762,167.98,1368.80909
303400,1.17015,4781,167.97,1368.75926
304200,1.17472,4799,168.07,1369.57080
305000,1.17954,4818,168.20,1370.65004
305800,1.18365,4835,167.74,1366.86924
306600,1.18918,4857,168.29,1371.35219
307400,1.19340,4874,168.35,1371.84393
308200,1.19846,4894,168.39,1372.15652
309000,1.20311,4912,168.40,1372.25129
309800,1.20777,4931,168.38,1372.09057
310600,1.21230,4949,168.49,1372.97448
311400,1.21707,4968,168.59,1373.81074
312200,1.22222,4989,168.60,1373.87828
313000,1.22708,5008,168.67,1374.41194
313800,1.23099,5024,168.55,1373.46047
314600,1.23625,5045,168.78,1375.34666
315400,1.24102,5064,168.81,1375.57738
316200,1.24525,5081,168.27,1371.20452
317000,1.25085,5101,168.88,1376.17856
317800,1.25123,5102,168.35,1371.85803
318600,1.25180,5102,167.92,1368.36020
319400,1.25083,5101,167.73,1366.77567
320200,1.25042,5101,167.45,1364.47048
321000,1.25096,5101,167.38,1363.91978
321800,1.24930,5099,167.23,1362.67872
322600,1.25164,5102,167.08,1361.52022
323400,1.25085,5101,166.94,1360.32238
324200,1.25046,5101,166.75,1358.77925
325000,1.25029,5100,166.79,1359.16080
325800,1.25026,5100,166.72,1358.53457
350300,1.25721,5110,166.02,1352.87458
351100,1.27050,5127,167.05,1361.20890
351900,1.28380,5145,167.40,1364.11631
352700,1.29712,5163,167.80,1367.39403
353500,1.31035,5180,168.56,1373.54231
354300,1.32350,5198,168.95,1376.70959
355100,1.33597,5215,169.00,1377.16008
355900,1.34998,5233,169.28,1379.43972
356700,1.36273,5250,169.31,1379.70255
357500,1.37764,5270,169.60,1382.01967
358300,1.39074,5288,169.59,1381.97218
359100,1.40348,5305,169.49,1381.15929
359900,1.41658,5322,169.72,1383.00658
360700,1.43064,5341,169.75,1383.23726
361500,1.44339,5358,169.77,1383.38219
362300,1.45737,5376,169.86,1384.15625
363100,1.47151,5395,169.61,1382.12897
363900,1.48381,5412,169.83,1383.88398
364700,1.49704,5429,169.88,1384.32598
365500,1.51121,5448,169.90,1384.46245
366300,1.52388,5465,169.94,1384.80603
367100,1.53754,5483,169.73,1383.04426
367900,1.55088,5501,169.96,1384.95076
368700,1.56400,5519,170.03,1385.51335
369500,1.57694,5536,169.82,1383.82981
370300,1.59080,5554,169.74,1383.19844
371100,1.60445,5573,170.03,1385.50877
371900,1.61818,5591,170.06,1385.79667
372700,1.63109,5608,170.10,1386.09213
373500,1.64442,5626,169.41,1380.43745
374300,1.65789,5644,170.09,1386.05609
375100,1.67106,5661,170.13,1386.34670
375900,1.68497,5680,170.13,1386.36903
376700,1.69843,5698,169.80,1383.68789
377500,1.71052,5714,170.05,1385.65985
378300,1.72555,5734,170.19,1386.86497
379100,1.73769,5750,170.20,1386.93975
379900,1.75180,5769,169.76,1383.34459
380700,1.76491,5787,170.20,1386.91508
381500,1.77790,5804,170.26,1387.40980
382300,1.79082,5821,170.28,1387.59679
383100,1.80449,5839,170.10,1386.11772
383900,1.81869,5858,170.10,1386.06962
384700,1.83182,5876,170.34,1388.03479
385500,1.84479,5893,170.38,1388.41969
386300,1.85776,5910,170.19,1386.86452
387100,1.87087,5928,170.37,1388.29083
387900,1.88397,5945,170.28,1387.54307
388700,1.89769,5964,170.43,1388.81109
389500,1.90989,5980,170.27,1387.46240
390300,1.92423,5999,170.20,1386.87823
391100,1.93764,6017,170.46,1389.05482
391900,1.95099,6035,170.50,1389.33095
392700,1.96438,6053,170.38,1388.38540
393500,1.97737,6070,170.52,1389.49386
394300,1.99129,6088,170.33,1387.95986
395100,2.00475,6106,170.55,1389.77087
395900,2.01771,6124,170.48,1389.21721
396700,2.03149,6142,170.55,1389.74282
397500,2.04401,6159,170.55,1389.74478
398300,2.05817,6178,170.43,1388.77036
399100,2.07168,6196,170.51,1389.41339
399900,2.08505,6213,170.62,1390.30128
400700,2.09761,6230,170.30,1387.70802
401500,2.11196,6249,170.57,1389.95206
402300,2.12442,6266,170.54,1389.68624
403100,2.13730,6283,170.60,1390.15490
403900,2.15058,6301,170.63,1390.45026
404700,2.16550,6321,170.46,1389.01685
405500,2.17703,6336,170.59,1390.11718
406300,2.19085,6354,170.65,1390.59790
407100,2.20435,6372,170.63,1390.42283
407900,2.21807,6391,170.61,1390.23814
408700,2.23033,6407,170.45,1388.96112
409500,2.24491,6427,170.63,1390.39272
410300,2.25814,6444,170.67,1390.73846
411100,2.27124,6462,170.27,1387.45173
411900,2.28438,6479,170.51,1389.42558
412700,2.29786,6497,170.68,1390.79289
413500,2.31055,6514,170.64,1390.46458
414300,2.32399,6532,170.65,1390.58030
415100,2.33800,6551,170.40,1388.50469
415900,2.35127,6568,170.63,1390.44685
416700,2.36398,6585,170.62,1390.30078
417500,2.37744,6603,170.61,1390.27422
418300,2.39176,6622,170.54,1389.65523
419100,2.40430,6639,170.49,1389.27908
419900,2.41809,6657,170.60,1390.18716
420700,2.43078,6674,170.61,1390.25278
421500,2.44511,6693,170.00,1385.27004
422300,2.45782,6710,170.62,1390.30043
423100,2.47112,6728,170.61,1390.28200
423900,2.48427,6746,170.58,1390.00313
424700,2.49857,6765,170.59,1390.05876
425500,2.51054,6781,170.49,1389.25625
426300,2.52557,6801,170.57,1389.89237
427100,2.53778,6817,170.55,1389.77368
427900,2.55032,6834,170.50,1389.33705
428700,2.56442,6853,170.54,1389.65750
429500,2.57823,6871,170.38,1388.35553
430300,2.59097,6888,170.53,1389.62081
431100,2.60431,6906,170.50,1389.32188
431900,2.61772,6924,170.04,1385.57345
432700,2.63034,6940,170.46,1389.05149
433500,2.64537,6960,170.51,1389.44786
434300,2.65722,6976,170.46,1389.02227
435100,2.67164,6996,170.49,1389.25836
435900,2.68409,7012,170.33,1387.93313
436700,2.69855,7031,170.44,1388.84096
437500,2.71197,7049,170.43,1388.77717
438300,2.72416,7066,170.35,1388.13635
439100,2.73792,7084,170.35,1388.11347
439900,2.75091,7101,170.30,1387.70785
440700,2.76523,7120,170.35,1388.16149
441500,2.77781,7137,170.38,1388.38450
442300,2.79150,7155,169.97,1385.01030
443100,2.80469,7173,170.27,1387.48580
443900,2.81818,7191,170.30,1387.69785
444700,2.83119,7208,170.26,1387.41789
445500,2.84418,7226,170.26,1387.41925
446300,2.85800,7244,170.10,1386.13594
447100,2.87120,7262,170.21,1387.00652
447900,2.88459,7279,170.25,1387.28183
448700,2.89741,7297,170.07,1385.88105
449500,2.91105,7315,170.00,1385.24492
450300,2.92521,7334,170.16,1386.60610
451100,2.93783,7350,170.14,1386.38579
451900,2.95110,7368,170.12,1386.24377
452700,2.96426,7386,169.39,1380.33795
453500,2.97760,7403,170.03,1385.56261
454300,2.99107,7421,170.05,1385.73196
455100,3.00478,7440,170.01,1385.36782
455900,3.01885,7458,169.66,1382.53374
456700,3.03049,7474,169.87,1384.18824
457500,3.04467,7493,169.94,1384.78972
458300,3.05772,7510,169.92,1384.60592
459100,3.07186,7529,169.38,1380.21438
459900,3.08461,7546,169.82,1383.81880
460700,3.09805,7564,169.84,1384.02030
461500,3.11082,7581,169.78,1383.50703
462300,3.12412,7599,169.59,1381.97489
463100,3.13767,7617,169.58,1381.85786
463900,3.15109,7635,169.69,1382.74184
464700,3.16432,7652,169.65,1382.45476
465500,3.17717,7670,169.47,1380.99561
466300,3.19179,7689,169.58,1381.88544
467100,3.20454,7706,169.43,1380.67250
467900,3.21707,7723,169.53,1381.48807
468700,3.23129,7742,169.40,1380.36374
469500,3.24512,7760,168.90,1376.29271
470300,3.25838,7778,169.40,1380.36926
471100,3.27098,7795,169.40,1380.35663
471900,3.28500,7813,169.27,1379.34164
472700,3.29882,7832,169.27,1379.33627
473500,3.31095,7848,169.15,1378.34568
474300,3.32479,7866,169.19,1378.64775
475100,3.33828,7884,169.13,1378.21709
475900,3.35164,7902,169.06,1377.62148
476700,3.36528,7920,169.03,1377.34569
477500,3.37806,7937,168.89,1376.20952
478300,3.39138,7955,168.91,1376.40471
479100,3.40480,7973,168.90,1376.35361
479900,3.41846,7991,168.44,1372.57898
480700,3.43129,8008,168.73,1374.96754
481500,3.44434,8026,168.64,1374.19609
482300,3.45790,8044,168.60,1373.88805
483100,3.47084,8061,168.51,1373.11801
483900,3.48434,8079,168.38,1372.04849
484700,3.49844,8098,168.30,1371.46355
485500,3.51160,8115,168.34,1371.76624
486300,3.52492,8133,168.06,1369.50236
487100,3.53827,8151,168.10,1369.79553
487900,3.55139,8169,167.95,1368.59709
488700,3.56527,8187,167.93,1368.42754
489500,3.57792,8204,167.83,1367.62809
490300,3.59223,8223,167.54,1365.25477
491100,3.60484,8240,167.60,1365.73584
491900,3.61814,8258,167.57,1365.49041
492700,3.63117,8275,167.36,1363.77231
493500,3.64492,8293,167.26,1362.95938
494300,3.65816,8311,167.09,1361.55665
495100,3.67158,8329,167.06,1361.35042
495900,3.68488,8347,166.95,1360.44324
496700,3.69709,8363,166.39,1355.85808
497500,3.71155,8382,166.68,1358.25685
498300,3.72512,8400,166.64,1357.91544
499100,3.73785,8417,166.44,1356.31272
499900,3.75093,8435,166.32,1355.32156
500700,3.76436,8452,166.10,1353.53686
501500,3.77853,8471,166.08,1353.32876
502300,3.79133,8488,165.94,1352.16571
503100,3.80484,8506,165.75,1350.67157
503900,3.81784,8524,165.64,1349.76019
504700,3.83096,8541,165.43,1348.01125
505500,3.84512,8560,165.35,1347.37948
506300,3.85844,8578,165.25,1346.60919
507100,3.87167,8596,164.74,1342.42740
507900,3.88554,8614,164.96,1344.19663
508700,3.89845,8631,164.85,1343.27922
509500,3.91107,8648,164.65,1341.72028
510300,3.92544,8667,164.57,1341.02519
511100,3.93766,8684,164.38,1339.48007
511900,3.95182,8702,164.27,1338.57602
512700,3.96396,8719,164.11,1337.31484
513500,3.97783,8737,163.85,1335.13027
514300,3.99207,8756,163.83,1335.02177
515100,4.00458,8773,163.70,1333.92061
