Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
42600,0.09711,388,81.30,673.25713
43400,0.09930,397,82.53,683.38238
44200,0.10150,406,83.69,693.02780
45000,0.10376,415,84.82,702.33725
45800,0.10593,424,85.90,711.29048
46600,0.10825,433,87.01,720.48471
47400,0.11075,443,88.17,730.12590
48200,0.11305,452,89.18,738.45833
49000,0.11550,462,90.19,746.87637
49800,0.11811,472,91.23,755.48504
50600,0.12075,483,92.23,763.72658
51400,0.12333,493,93.17,771.49184
52200,0.12614,505,94.19,779.92425
53000,0.12897,516,95.09,787.39221
53800,0.13171,527,95.95,794.56566
54600,0.13456,538,96.85,801.97913
55400,0.13758,550,97.70,809.00061
56200,0.14059,562,98.46,815.32148
57000,0.14370,575,99.33,822.50701
57800,0.14687,587,100.05,828.49990
58600,0.15007,600,100.82,834.85707
59400,0.15317,613,101.46,840.17221
60200,0.15637,625,102.18,846.10499
61000,0.15975,639,102.83,851.53373
61800,0.16306,652,103.49,856.97472
62600,0.16641,666,104.12,862.20284
63400,0.17006,680,104.79,867.71477
64200,0.17334,693,105.32,872.12656
65000,0.17671,707,105.89,876.83295
65800,0.18036,721,106.49,881.82467
66600,0.18428,737,107.07,886.64251
67400,0.18767,751,107.51,890.25389
68200,0.19127,765,108.08,894.95467
69000,0.19496,780,108.56,898.98017
69800,0.19860,794,109.03,902.82336
70600,0.20245,810,109.52,906.87468
71400,0.20619,825,110.05,911.25784
72200,0.21018,841,110.51,915.06605
73000,0.21388,856,110.91,918.44731
73800,0.21766,871,111.41,922.55684
74600,0.22169,887,111.86,926.31464
75400,0.22565,903,112.26,929.55156
76200,0.22945,918,112.62,932.54649
77000,0.23348,934,113.11,936.63335
77800,0.23753,950,113.50,939.85268
78600,0.24130,965,113.80,942.36098
79400,0.24525,981,114.26,946.12998
80200,0.24919,997,114.63,949.21817
81000,0.25332,1013,115.01,952.37710
81800,0.25723,1029,115.38,955.46658
82600,0.26124,1045,115.81,958.98286
83400,0.26557,1062,116.19,962.14349
84200,0.26948,1078,116.49,964.64361
85000,0.27330,1093,116.71,966.46809
85800,0.27759,1110,117.21,970.59784
86600,0.28170,1127,117.55,973.40765
87400,0.28550,1142,117.69,974.57489
88200,0.28968,1159,118.22,978.90748
89000,0.29399,1176,118.60,982.13029
89800,0.29819,1193,118.89,984.52212
90600,0.30214,1209,119.17,986.79700
91400,0.30611,1224,119.51,989.65306
92200,0.31052,1242,119.88,992.68571
93000,0.31458,1258,120.19,995.29384
93800,0.31840,1274,120.41,997.05157
94600,0.32280,1291,120.83,1000.59079
95400,0.32711,1308,121.14,1003.08933
96200,0.33106,1324,121.39,1005.18487
97000,0.33499,1340,121.65,1007.36255
97800,0.33937,1357,122.08,1010.93787
98600,0.34360,1374,122.32,1012.91797
99400,0.34772,1391,122.65,1015.58910
100200,0.35182,1407,122.93,1017.91290
101000,0.35621,1425,123.23,1020.45927
101800,0.36028,1441,123.49,1022.61228
102600,0.36407,1456,123.62,1023.62144
103400,0.36840,1474,124.06,1027.27724
104200,0.37279,1491,124.36,1029.78081
105000,0.37698,1508,124.66,1032.28594
105800,0.38091,1524,124.90,1034.29085
106600,0.38525,1541,125.18,1036.59432
107400,0.38971,1559,125.47,1038.93867
108200,0.39373,1575,125.69,1040.82067
109000,0.39794,1592,126.01,1043.47004
109800,0.40229,1609,126.30,1045.83458
110600,0.40652,1626,126.55,1047.91418
111400,0.41058,1642,126.80,1050.01789
112200,0.41477,1659,127.08,1052.34964
113000,0.41924,1677,127.36,1054.60291
113800,0.42353,1694,127.65,1057.04333
114600,0.42750,1710,127.87,1058.87387
115400,0.43181,1727,128.08,1060.56747
116200,0.43616,1745,128.40,1063.20078
117000,0.44044,1762,128.66,1065.36632
117800,0.44457,1778,128.86,1067.08139
118600,0.44889,1796,129.16,1069.57197
119400,0.45318,1813,129.42,1071.69544
120200,0.45723,1829,129.58,1072.98131
121000,0.46155,1846,129.90,1075.68510
121800,0.46590,1864,130.11,1077.41788
122600,0.47041,1882,130.39,1079.71719
123400,0.47434,1897,130.56,1081.16856
124200,0.47858,1914,130.70,1082.27938
125000,0.48309,1932,131.10,1085.58463
125800,0.48737,1949,131.38,1087.92136
126600,0.49136,1965,131.56,1089.44180
127400,0.49571,1983,131.82,1091.53539
128200,0.49992,2000,132.00,1093.05252
129000,0.50429,2017,132.20,1094.70532
129800,0.50853,2034,132.53,1097.44621
130600,0.51277,2051,132.60,1098.01836
131400,0.51721,2069,132.97,1101.09261
132200,0.52132,2085,133.18,1102.80152
133000,0.52579,2103,133.47,1105.18545
133800,0.53015,2121,133.65,1106.68597
134600,0.53438,2138,133.83,1108.19385
135400,0.53851,2154,134.07,1110.22351
136200,0.54297,2172,134.32,1112.29187
137000,0.54739,2190,134.50,1113.75423
137800,0.55183,2207,134.75,1115.80740
138600,0.55585,2223,134.98,1117.72862
139400,0.56051,2242,135.24,1119.84969
140200,0.56476,2259,135.38,1121.02635
141000,0.56866,2275,135.46,1121.70969
141800,0.57317,2293,135.82,1124.66247
142600,0.57764,2311,136.04,1126.50768
143400,0.58182,2327,136.21,1127.93183
144200,0.58611,2344,136.41,1129.57450
145000,0.59042,2362,136.66,1131.62540
145800,0.59501,2380,136.86,1133.27208
146600,0.59936,2397,137.05,1134.89570
147400,0.60330,2413,137.22,1136.29324
148200,0.60801,2432,137.49,1138.54951
149000,0.61246,2450,137.66,1139.96068
149800,0.61674,2467,137.82,1141.25213
150600,0.62085,2483,138.05,1143.12984
151400,0.62538,2502,138.25,1144.80837
152200,0.62981,2519,138.43,1146.27306
153000,0.63393,2536,138.46,1146.57704
153800,0.63837,2553,138.86,1149.87201
154600,0.64301,2572,139.05,1151.41026
155400,0.64738,2590,139.22,1152.86651
156200,0.65135,2605,139.27,1153.23463
157000,0.65601,2624,139.58,1155.85391
157800,0.66045,2642,139.77,1157.38210
158600,0.66489,2660,139.91,1158.55132
159400,0.66910,2676,140.10,1160.16240
160200,0.67353,2694,140.35,1162.23169
161000,0.67820,2713,140.49,1163.33504
161800,0.68245,2730,140.67,1164.84021
162600,0.68648,2746,140.78,1165.76438
163400,0.69120,2765,141.03,1167.81457
164200,0.69566,2783,141.19,1169.14120
165000,0.70017,2801,141.32,1170.25415
165800,0.70450,2818,141.52,1171.86829
166600,0.70886,2835,141.73,1173.60269
167400,0.71343,2854,141.90,1175.00400
168200,0.71742,2870,141.76,1173.88638
169000,0.72201,2888,142.18,1177.32779
169800,0.72678,2907,142.40,1179.18905
170600,0.73122,2925,142.56,1180.53476
171400,0.73549,2942,142.60,1180.85704
172200,0.73995,2960,142.85,1182.90232
173000,0.74436,2977,143.03,1184.35771
173800,0.74898,2996,143.19,1185.74600
174600,0.75325,3013,143.32,1186.82451
175400,0.75768,3031,143.45,1187.86503
176200,0.76227,3049,143.63,1189.37164
177000,0.76674,3067,143.80,1190.80350
177800,0.77104,3084,143.92,1191.76631
178600,0.77557,3102,144.10,1193.22999
179400,0.78004,3120,144.23,1194.30596
180200,0.78477,3139,144.40,1195.72676
181000,0.78902,3156,144.56,1197.06785
181800,0.79356,3174,144.69,1198.09439
182600,0.79825,3193,144.86,1199.57808
183400,0.80271,3211,144.92,1200.06300
184200,0.80721,3229,145.11,1201.60014
185000,0.81172,3247,145.26,1202.82248
185800,0.81626,3265,145.38,1203.82131
186600,0.82075,3283,145.48,1204.67338
187400,0.82521,3301,145.68,1206.31714
188200,0.82970,3319,145.76,1206.98340
189000,0.83454,3338,145.98,1208.79331
189800,0.83888,3356,146.08,1209.68122
190600,0.84364,3375,146.25,1211.08503
191400,0.84817,3393,146.35,1211.86618
192200,0.85249,3410,146.42,1212.44005
193000,0.85707,3428,146.57,1213.72817
193800,0.86183,3447,146.78,1215.47703
194600,0.86617,3465,146.65,1214.35304
195400,0.87117,3485,147.01,1217.31178
196200,0.87543,3502,147.16,1218.57109
197000,0.88034,3521,147.30,1219.78504
197800,0.88487,3539,147.38,1220.41954
198600,0.88937,3557,147.46,1221.07931
199400,0.89398,3576,147.65,1222.61260
200200,0.89868,3595,147.79,1223.79456
201000,0.90308,3612,147.60,1222.26069
201800,0.90780,3631,147.79,1223.76593
202600,0.91254,3650,148.17,1226.94607
203400,0.91747,3670,148.25,1227.65069
204200,0.92205,3688,148.37,1228.57863
205000,0.92626,3705,148.34,1228.39565
205800,0.93138,3726,148.62,1230.65179
206600,0.93593,3744,148.74,1231.66638
207400,0.94050,3762,148.68,1231.14459
208200,0.94492,3780,148.88,1232.79671
209000,0.94932,3797,149.01,1233.94547
209800,0.95435,3817,149.15,1235.07102
210600,0.95885,3835,149.24,1235.82328
211400,0.96290,3852,149.15,1235.04555
212200,0.96814,3873,149.45,1237.58965
213000,0.97266,3891,149.53,1238.23099
213800,0.97743,3910,149.58,1238.62393
214600,0.98149,3926,149.67,1239.37153
215400,0.98591,3944,149.78,1240.30266
216200,0.86777,3471,142.17,1177.29413
217000,0.87036,3481,144.35,1195.35866
217800,0.87285,3491,146.41,1212.37616
218600,0.87484,3499,147.70,1223.04592
219400,0.87698,3508,148.71,1231.45274
220200,0.87926,3517,149.27,1236.07323
221000,0.88209,3528,149.44,1237.46554
221800,0.88631,3545,149.99,1242.00605
222600,0.89009,3560,150.17,1243.51019
223400,0.89431,3577,150.28,1244.43911
224200,0.89867,3595,150.39,1245.36786
225000,0.90288,3612,150.39,1245.36604
225800,0.90777,3631,150.58,1246.91685
226600,0.91209,3648,150.73,1248.14723
227400,0.91625,3665,150.36,1245.08435
228200,0.92129,3685,150.83,1249.01247
229000,0.92582,3703,150.97,1250.16355
229800,0.93040,3722,151.03,1250.60154
230600,0.93508,3740,151.12,1251.38703
231400,0.93942,3758,151.07,1250.99645
232200,0.94456,3778,151.29,1252.76754
233000,0.94894,3796,151.40,1253.71648
233800,0.95302,3812,150.88,1249.36750
234600,0.95845,3834,151.52,1254.65501
235400,0.96292,3852,151.53,1254.77909
236200,0.96753,3870,151.66,1255.86868
237000,0.97224,3889,151.75,1256.60568
237800,0.97659,3906,151.68,1255.99772
238600,0.98113,3925,151.61,1255.42822
239400,0.98580,3943,151.98,1258.47290
240200,0.99016,3961,151.69,1256.09258
241000,0.99522,3981,152.09,1259.44926
241800,0.99930,3997,152.04,1259.00649
242600,1.00435,4017,152.26,1260.77943
243400,1.00911,4036,152.35,1261.55868
244200,1.01344,4054,152.26,1260.83404
245000,1.01796,4072,152.37,1261.74080
245800,1.02270,4091,152.56,1263.33078
246600,1.02737,4109,152.40,1261.95492
247400,1.03211,4128,152.64,1263.93774
248200,1.03604,4144,152.62,1263.80954
249000,1.04105,4164,152.77,1265.04583
249800,1.04561,4182,152.83,1265.56489
250600,1.04985,4199,152.74,1264.82630
251400,1.05411,4216,152.79,1265.18138
252200,1.05881,4235,153.02,1267.12513
253000,1.06346,4254,152.96,1266.64193
253800,1.06805,4272,153.10,1267.73961
254600,1.07191,4288,153.13,1268.05433
255400,1.07665,4307,153.17,1268.39490
256200,1.08084,4323,153.22,1268.75746
257000,1.08471,4339,153.05,1267.36606
257800,1.08868,4355,153.26,1269.13814
258600,1.09269,4371,153.33,1269.71914
259400,1.09690,4388,153.31,1269.48526
260200,1.10096,4404,153.42,1270.46015
261000,1.10450,4418,153.42,1270.46424
261800,1.10923,4437,153.58,1271.74572
262600,1.11347,4454,153.66,1272.43088
263400,1.11737,4469,153.30,1269.46418
264200,1.12209,4488,153.75,1273.14452
265000,1.12648,4506,153.82,1273.73970
265800,1.13130,4525,153.88,1274.21087
266600,1.13531,4541,153.61,1272.03514
267400,1.13978,4559,153.87,1274.10906
268200,1.14511,4580,154.06,1275.74445
269000,1.14980,4599,154.08,1275.90527
269800,1.15372,4615,153.67,1272.47895
270600,1.15890,4636,154.12,1276.20412
271400,1.16367,4655,154.23,1277.17259
272200,1.16873,4675,154.26,1277.35899
273000,1.17285,4691,154.22,1277.02021
273800,1.17736,4709,154.23,1277.09885
274600,1.18279,4731,154.38,1278.38437
275400,1.18751,4750,154.45,1278.96651
276200,1.19116,4765,153.98,1275.06679
277000,1.19670,4787,154.50,1279.40665
277800,1.20150,4806,154.58,1280.04218
278600,1.20663,4827,154.60,1280.21549
279400,1.21069,4843,154.55,1279.74540
280200,1.21527,4861,154.56,1279.87006
281000,1.22062,4882,154.70,1281.00123
281800,1.22543,4902,154.78,1281.66352
282600,1.22919,4917,154.24,1277.17664
283400,1.23495,4940,154.82,1282.01248
284200,1.23966,4959,154.87,1282.42063
285000,1.24480,4979,154.91,1282.75400
285800,1.24908,4996,154.92,1282.83065
286600,1.25239,5009,154.36,1278.17111
287400,1.25280,5004,154.03,1275.49854
288200,1.25276,5004,153.83,1273.79641
289000,1.25276,5004,153.23,1268.88305
289800,1.25239,5003,153.48,1270.92129
290600,1.25292,5004,153.35,1269.85916
291400,1.25233,5003,152.84,1265.59921
292200,1.25247,5003,153.13,1268.00745
293000,1.25254,5003,152.98,1266.77220
293800,1.25283,5004,152.97,1266.73437
294600,1.25267,5004,152.63,1263.89677
300700,1.25629,5008,152.51,1262.86393
301500,1.27167,5029,153.64,1272.23761
302300,1.28436,5046,154.24,1277.25467
303100,1.29731,5063,154.34,1278.07842
303900,1.31120,5082,154.36,1278.19179
304700,1.32406,5099,155.02,1283.69814
305500,1.33825,5118,155.23,1285.42473
306300,1.35107,5135,155.32,1286.18755
307100,1.36295,5151,155.04,1283.86202
307900,1.37804,5171,155.40,1286.85341
308700,1.39048,5187,155.48,1287.46802
309500,1.40387,5205,155.22,1285.29787
310300,1.41785,5224,155.41,1286.92058
311100,1.43132,5242,155.57,1288.22280
311900,1.44419,5259,155.54,1288.01685
312700,1.45811,5277,155.56,1288.15305
313500,1.47054,5294,155.38,1286.64632
314300,1.48414,5312,155.59,1288.43401
315100,1.49739,5330,155.62,1288.67452
315900,1.51066,5348,155.46,1287.33252
316700,1.52510,5367,155.60,1288.49474
317500,1.53712,5383,155.67,1289.08974
318300,1.55033,5400,155.62,1288.61720
319100,1.56487,5420,155.70,1289.33635
319900,1.57730,5436,155.60,1288.45883
320700,1.59055,5454,155.72,1289.43253
321500,1.60453,5473,155.74,1289.64114
322300,1.61738,5490,155.64,1288.77342
323100,1.63106,5508,155.75,1289.68567
323900,1.64477,5526,155.80,1290.14982
324700,1.65822,5544,155.80,1290.15298
325500,1.67210,5563,155.76,1289.79807
326300,1.68419,5579,155.71,1289.40453
327100,1.69692,5596,155.85,1290.51543
327900,1.71100,5615,155.88,1290.75540
328700,1.72541,5634,155.46,1287.34935
329500,1.73675,5649,155.83,1290.34405
330300,1.75114,5668,155.86,1290.65882
331100,1.76483,5686,155.90,1290.93258
331900,1.77701,5703,155.70,1289.34209
332700,1.79134,5722,155.77,1289.92213
333500,1.80417,5739,155.93,1291.17116
334300,1.81787,5757,155.95,1291.34027
335100,1.83210,5776,155.80,1290.16907
335900,1.84380,5792,155.94,1291.30254
336700,1.85757,5810,155.90,1291.00040
337500,1.87160,5829,155.94,1291.31684
338300,1.88399,5845,155.90,1290.93685
339100,1.89812,5864,155.82,1290.32196
339900,1.91078,5881,155.96,1291.47425
340700,1.92463,5900,155.99,1291.68994
341500,1.93807,5917,155.87,1290.71148
342300,1.95131,5935,155.96,1291.46033
343100,1.96450,5953,155.94,1291.25991
343900,1.97837,5971,155.96,1291.43736
344700,1.99054,5987,155.93,1291.17659
345500,2.00537,6007,155.81,1290.22325
346300,2.01822,6024,155.95,1291.40367
347100,2.03178,6042,156.00,1291.81766
347900,2.04510,6060,155.92,1291.14503
348700,2.05766,6077,155.98,1291.63432
349500,2.07132,6095,155.90,1290.99603
350300,2.08412,6112,155.91,1291.03421
351100,2.09772,6130,155.94,1291.25687
351900,2.11077,6148,155.73,1289.51264
352700,2.12482,6166,155.93,1291.24338
353500,2.13774,6184,155.51,1287.69341
354300,2.15098,6201,155.86,1290.62642
355100,2.16443,6219,155.87,1290.69220
355900,2.17791,6237,155.77,1289.87677
356700,2.19057,6254,155.63,1288.73049
357500,2.20488,6273,155.82,1290.30147
358300,2.21859,6291,155.64,1288.80605
359100,2.23072,6308,155.77,1289.89946
359900,2.24437,6326,155.68,1289.11513
360700,2.25799,6344,155.70,1289.28397
361500,2.27095,6361,155.68,1289.11273
362300,2.28483,6380,155.57,1288.25482
363100,2.29824,6398,155.60,1288.43679
363900,2.31139,6415,155.62,1288.61622
364700,2.32514,6434,155.33,1286.23878
365500,2.33801,6451,155.51,1287.72929
366300,2.35153,6469,155.37,1286.58968
367100,2.36502,6487,155.36,1286.46192
367900,2.37782,6504,155.30,1285.96039
368700,2.39278,6524,155.21,1285.23758
369500,2.40637,6542,155.23,1285.37128
370300,2.41755,6557,155.18,1285.03321
371100,2.43154,6575,154.87,1282.44689
371900,2.44524,6594,155.03,1283.72447
372700,2.45846,6611,155.01,1283.60198
373500,2.47168,6629,154.87,1282.43698
374300,2.48486,6646,154.79,1281.75106
375100,2.49782,6664,154.62,1280.37616
375900,2.51173,6682,154.68,1280.89754
376700,2.52477,6700,154.58,1280.00005
377500,2.53862,6718,154.28,1277.57591
378300,2.55112,6735,153.91,1274.44548
379100,2.56417,6752,154.31,1277.79688
379900,2.57777,6770,154.18,1276.74206
380700,2.59121,6788,154.07,1275.77409
381500,2.60360,6805,153.72,1272.91613
382300,2.61752,6823,153.90,1274.40199
383100,2.63183,6842,153.82,1273.71476
383900,2.64559,6861,153.50,1271.08888
384700,2.65786,6877,153.51,1271.20551
385500,2.67209,6896,153.51,1271.13909
386300,2.68466,6913,153.31,1269.53885
387100,2.69765,6930,153.19,1268.50983
387900,2.71124,6948,153.06,1267.41766
388700,2.72482,6966,152.99,1266.87098
389500,2.73792,6984,152.87,1265.87597
390300,2.75208,7003,152.58,1263.44885
391100,2.76558,7021,152.58,1263.44036
391900,2.77795,7037,152.56,1263.30049
392700,2.79164,7056,152.32,1261.32273
393500,2.80555,7074,152.21,1260.40765
394300,2.81680,7089,152.09,1259.38093
395100,2.83211,7109,152.00,1258.65298
395900,2.84423,7126,151.86,1257.52760
396700,2.85859,7145,151.58,1255.17589
397500,2.87078,7161,151.65,1255.76795
398300,2.88527,7180,151.55,1254.96783
399100,2.89829,7198,151.28,1252.67621
399900,2.91150,7215,151.05,1250.77040
400700,2.92441,7233,151.06,1250.90358
401500,2.93824,7251,151.03,1250.65873
402300,2.95181,7269,150.81,1248.81316
403100,2.96534,7287,150.48,1246.07476
403900,2.97840,7305,150.64,1247.42497
404700,2.99199,7323,150.44,1245.72445
405500,3.00567,7341,149.68,1239.42667
406300,3.01748,7357,150.11,1242.97394
407100,3.03068,7374,149.92,1241.41262
407900,3.04476,7393,149.58,1238.65680
408700,3.05826,7411,149.61,1238.90539
409500,3.07170,7429,149.20,1235.43985
410300,3.08450,7446,148.81,1232.23550
411100,3.09829,7464,148.84,1232.50165
411900,3.11132,7482,148.17,1226.95853
412700,3.12405,7499,148.02,1225.70217
413500,3.13852,7518,148.01,1225.62484
414300,3.15155,7535,147.72,1223.22474
415100,3.16564,7554,147.45,1220.97911
415900,3.17875,7572,147.42,1220.71811
416700,3.19191,7589,147.16,1218.57392
417500,3.20541,7607,146.96,1216.96029
418300,3.21767,7624,146.86,1216.13621
419100,3.23246,7643,146.37,1212.07628
419900,3.24512,7660,146.38,1212.16288
420700,3.25856,7678,146.19,1210.59049
421500,3.27187,7696,145.78,1207.16146
422300,3.28445,7713,145.67,1206.24514
423100,3.29851,7731,145.29,1203.09139
423900,3.31113,7748,144.92,1200.01395
424700,3.32523,7767,144.73,1198.48738
425500,3.33912,7785,144.59,1197.31196
426300,3.35213,7803,144.37,1195.48224
427100,3.36435,7819,144.16,1193.76325
427900,3.37846,7838,144.11,1193.34768
428700,3.39201,7856,143.83,1190.98373
429500,3.40514,7874,143.77,1190.55054
430300,3.41717,7890,143.57,1188.83011
431100,3.43166,7909,143.49,1188.23132
431900,3.44534,7927,143.30,1186.65160
432700,3.45830,7944,143.09,1184.88718
433500,3.47210,7963,142.97,1183.91092
434300,3.48548,7981,142.83,1182.76523
435100,3.49840,7998,142.59,1180.73763
435900,3.51175,8016,142.44,1179.51256
436700,3.52446,8033,142.27,1178.09258
437500,3.53733,8050,141.95,1175.40646
