Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
1000,0.00188,8,2.00,16.53995
1800,0.00369,15,3.86,31.94415
2600,0.00555,22,5.67,46.94331
3400,0.00744,30,7.65,63.33382
4200,0.00944,38,9.64,79.82152
5000,0.01141,46,11.60,96.05419
5800,0.01339,54,13.59,112.52436
6600,0.01529,61,15.45,127.90161
7400,0.01715,69,17.34,143.54829
8200,0.01892,76,19.09,158.06336
9000,0.02085,83,20.97,173.68349
9800,0.02266,91,22.78,188.65982
10600,0.02304,92,23.23,192.31998
11400,0.02355,94,23.77,196.81605
12200,0.02510,100,25.31,209.57429
13000,0.02685,107,27.10,224.42739
13800,0.02869,115,28.91,239.35437
14600,0.03042,122,30.58,253.26271
15400,0.03233,129,32.41,268.36718
16200,0.03404,136,34.08,282.19276
17000,0.03576,143,35.74,295.95527
17800,0.03768,151,37.55,310.93582
18600,0.03953,158,39.27,325.14273
19400,0.04128,165,40.87,338.41989
20200,0.04321,173,42.60,352.78214
21000,0.04482,179,44.14,365.52714
21800,0.04657,186,45.72,378.56185
22600,0.04835,193,47.28,391.52758
23400,0.05007,200,48.78,403.89442
24200,0.05185,207,50.30,416.48895
25000,0.05347,214,51.65,427.67619
25800,0.05531,221,53.12,439.85488
26600,0.05717,229,54.66,452.65571
27400,0.05910,236,56.12,464.71648
28200,0.06095,244,57.62,477.12367
29000,0.06291,252,59.06,489.02365
29800,0.06478,259,60.49,500.93404
30600,0.06670,267,61.85,512.14351
31400,0.06863,275,63.28,524.03157
32200,0.07065,283,64.66,535.41941
33000,0.07257,290,66.02,546.65494
33800,0.07450,298,67.35,557.71418
34600,0.07652,306,68.74,569.25282
35400,0.07844,314,70.00,579.62327
36200,0.08033,321,71.25,590.03035
37000,0.08239,330,72.61,601.28514
37800,0.08435,337,73.76,610.78063
38600,0.08643,346,75.14,622.24249
39400,0.08860,354,76.43,632.90911
40200,0.09065,363,77.63,642.84534
41000,0.09272,371,78.83,652.79088
41800,0.09490,380,80.11,663.35219
