Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
1000,0.00170,7,1.74,14.38771
1800,0.00337,13,3.48,28.83283
2600,0.00523,21,5.38,44.58340
3400,0.00724,29,7.38,61.09550
4200,0.00931,37,9.44,78.19689
5000,0.01122,45,11.42,94.58751
5800,0.01312,52,13.29,110.05048
6600,0.01498,60,15.16,125.51511
7400,0.01673,67,16.95,140.34490
8200,0.01860,74,18.82,155.81165
9000,0.02040,82,20.68,171.22640
9800,0.02056,82,20.98,173.69795
10600,0.02240,90,22.82,189.00298
11400,0.02431,97,24.69,204.41644
12200,0.02418,97,24.70,204.53677
13000,0.02586,103,26.46,219.11248
13800,0.02774,111,28.30,234.32347
14600,0.02960,118,30.13,249.46564
15400,0.03140,126,31.93,264.41034
16200,0.03322,133,33.75,279.45728
17000,0.03486,139,35.45,293.51678
17800,0.03672,147,37.27,308.59701
18600,0.03845,154,39.00,322.92588
19400,0.04018,161,40.76,337.55138
20200,0.04186,167,42.50,351.95180
21000,0.04375,175,44.31,366.88553
21800,0.04537,181,45.97,380.64888
22600,0.04666,187,47.30,391.67321
23400,0.04834,193,48.91,404.98738
24200,0.05002,200,50.68,419.67111
25000,0.05178,207,52.37,433.65397
25800,0.05345,214,54.06,447.69537
26600,0.05506,220,55.67,461.02695
27400,0.05631,225,56.90,471.19811
28200,0.05795,232,58.57,484.96518
29000,0.05953,238,60.11,497.75271
29800,0.06124,245,61.76,511.40096
30600,0.06286,251,63.33,524.40447
31400,0.06441,258,64.87,537.13500
32200,0.06588,264,66.28,548.85873
33000,0.06761,270,67.91,562.32073
33800,0.06919,277,69.38,574.51175
34600,0.07087,283,70.96,587.60311
35400,0.07250,290,72.47,600.09876
36200,0.07416,297,73.96,612.47780
37000,0.07576,303,75.37,624.10241
37800,0.07735,309,76.76,635.62313
38600,0.07876,315,77.96,645.60208
39400,0.08056,322,79.43,657.70264
40200,0.08233,329,80.78,668.92283
41000,0.08400,336,82.09,679.74894
41800,0.08602,344,83.54,691.74659
42600,0.08785,351,84.84,702.56587
43400,0.08968,359,86.11,713.02249
44200,0.09172,367,87.43,724.01124
45000,0.09376,375,88.64,734.03698
45800,0.09593,384,89.89,744.38007
46600,0.09806,392,91.07,754.14481
47400,0.10027,401,92.20,763.49569
48200,0.10244,410,93.24,772.06225
49000,0.10486,419,94.43,781.93052
49800,0.10723,429,95.42,790.12863
50600,0.10977,439,96.52,799.23469
51400,0.11228,449,97.41,806.64798
52200,0.11481,459,98.25,813.60590
53000,0.11773,471,99.33,822.51289
53800,0.12037,481,100.11,828.95682
54600,0.12318,493,100.98,836.20608
55400,0.12636,505,101.89,843.75629
56200,0.12942,518,102.67,850.18277
57000,0.13234,529,103.39,856.10146
57800,0.13583,543,104.25,863.27621
58600,0.13910,556,104.96,869.12206
59400,0.14242,570,105.66,874.91596
60200,0.14596,584,106.34,880.59270
61000,0.14963,599,107.09,886.77955
61800,0.15295,612,107.67,891.58022
62600,0.15670,627,108.38,897.45981
63400,0.16060,642,108.99,902.51220
64200,0.16419,657,109.52,906.92113
65000,0.16817,673,110.16,912.17892
65800,0.17200,688,110.66,916.35889
66600,0.17578,703,111.22,920.95632
67400,0.17989,720,111.79,925.70256
68200,0.18388,736,112.28,929.72380
69000,0.18763,751,112.67,932.97978
69800,0.19190,768,113.32,938.38458
70600,0.19599,784,113.78,942.15510
71400,0.19995,800,114.25,946.04456
72200,0.20426,817,114.73,950.06632
73000,0.20842,834,115.17,953.69175
73800,0.21233,849,115.60,957.28914
74600,0.21638,866,115.99,960.51115
75400,0.22066,883,116.47,964.49137
76200,0.22457,898,116.87,967.80294
77000,0.22878,915,117.29,971.27533
77800,0.23308,932,117.70,974.64087
78600,0.23694,948,117.97,976.88929
79400,0.24120,965,118.50,981.24707
80200,0.24537,981,118.82,983.88156
81000,0.24944,998,119.19,986.96608
81800,0.25373,1015,119.65,990.76917
82600,0.25798,1032,120.05,994.12987
83400,0.26215,1049,120.36,996.68136
84200,0.26626,1065,120.76,999.98110
85000,0.27056,1082,121.12,1002.97133
85800,0.27463,1099,121.43,1005.50375
86600,0.27892,1116,121.86,1009.11675
87400,0.28317,1133,122.23,1012.14481
88200,0.28736,1149,122.55,1014.83125
89000,0.29136,1165,122.82,1016.99788
89800,0.29560,1182,123.26,1020.68486
90600,0.29983,1199,123.63,1023.76173
91400,0.30390,1216,123.95,1026.43191
92200,0.30839,1234,124.35,1029.70992
93000,0.31240,1250,124.62,1031.97454
93800,0.31651,1266,125.01,1035.18859
94600,0.32073,1283,125.24,1037.04753
95400,0.32507,1300,125.66,1040.55011
96200,0.32900,1316,125.95,1042.94991
97000,0.33330,1333,126.27,1045.61597
97800,0.33765,1351,126.62,1048.53186
98600,0.34158,1366,126.95,1051.25313
99400,0.34582,1383,127.30,1054.14333
100200,0.35014,1401,127.59,1056.51242
101000,0.35432,1417,127.91,1059.19485
101800,0.35851,1434,128.24,1061.94490
102600,0.36261,1450,128.59,1064.81009
103400,0.36677,1467,128.82,1066.68876
104200,0.37107,1484,129.20,1069.87861
105000,0.37531,1501,129.51,1072.40989
105800,0.37931,1517,129.66,1073.69051
106600,0.38386,1535,130.15,1077.75851
107400,0.38815,1553,130.44,1080.12925
108200,0.39239,1570,130.75,1082.67034
109000,0.39668,1587,131.09,1085.55064
109800,0.40089,1604,131.35,1087.70600
110600,0.40508,1620,131.66,1090.22286
111400,0.40909,1636,131.94,1092.59365
112200,0.41359,1654,132.28,1095.36484
113000,0.41764,1671,132.51,1097.29582
113800,0.42169,1687,132.82,1099.87088
114600,0.42614,1705,133.14,1102.48235
115400,0.43033,1721,133.41,1104.69853
116200,0.43430,1737,133.68,1106.92776
117000,0.43844,1754,133.91,1108.88520
117800,0.44264,1771,134.23,1111.50471
118600,0.44674,1787,134.52,1113.90676
119400,0.45101,1804,134.82,1116.39739
120200,0.45518,1821,134.98,1117.73883
121000,0.45922,1837,135.38,1121.00893
121800,0.46364,1855,135.67,1123.41556
122600,0.46773,1871,135.86,1125.05045
123400,0.47191,1888,136.10,1126.97013
124200,0.47608,1904,136.46,1129.99324
125000,0.48041,1922,136.77,1132.51947
125800,0.48441,1938,136.82,1132.97442
126600,0.48870,1955,137.27,1136.65813
127400,0.49312,1972,137.58,1139.27978
128200,0.49719,1989,137.78,1140.91338
129000,0.50151,2006,138.10,1143.59194
129800,0.50582,2023,138.35,1145.65711
130600,0.51010,2040,138.63,1147.94977
131400,0.51405,2056,138.70,1148.49130
132200,0.51866,2075,139.15,1152.25653
133000,0.52300,2092,139.43,1154.58519
133800,0.52699,2108,139.58,1155.78247
134600,0.53160,2126,139.95,1158.87502
135400,0.53581,2143,140.17,1160.72036
136200,0.53995,2160,140.41,1162.66332
137000,0.54452,2178,140.65,1164.65897
137800,0.54887,2195,140.93,1167.00762
138600,0.55294,2212,141.13,1168.67124
139400,0.55717,2229,141.37,1170.64400
140200,0.56177,2247,141.70,1173.40497
141000,0.56592,2264,141.94,1175.34012
141800,0.57004,2280,142.23,1177.75398
142600,0.57462,2298,142.45,1179.58989
143400,0.57875,2315,142.67,1181.44319
144200,0.58286,2331,142.92,1183.49353
145000,0.58719,2349,143.10,1184.96041
145800,0.59164,2367,143.40,1187.41933
146600,0.59581,2383,143.63,1189.39034
147400,0.60008,2400,143.83,1190.99422
148200,0.60463,2419,144.11,1193.30055
149000,0.60874,2435,144.33,1195.15170
149800,0.60934,2437,143.24,1186.09952
150600,0.61259,2450,144.35,1195.34846
151400,0.61653,2466,144.67,1197.92907
152200,0.62119,2485,145.04,1201.07138
153000,0.62572,2503,145.27,1202.93165
153800,0.63005,2520,145.33,1203.44154
154600,0.63445,2538,145.69,1206.42975
155400,0.63923,2557,145.95,1208.60666
156200,0.64371,2575,146.22,1210.77438
157000,0.64800,2592,146.43,1212.56774
157800,0.65257,2610,146.57,1213.69648
158600,0.65718,2629,146.88,1216.30302
159400,0.66147,2646,147.09,1218.04248
160200,0.66594,2664,147.27,1219.47467
161000,0.67066,2683,147.52,1221.55905
161800,0.67492,2700,147.71,1223.10048
162600,0.67925,2717,147.99,1225.47395
163400,0.68385,2735,148.17,1226.93162
164200,0.68797,2752,148.24,1227.49919
165000,0.69262,2770,148.62,1230.64827
165800,0.69702,2788,148.74,1231.69223
166600,0.70156,2806,149.00,1233.79551
167400,0.70596,2824,149.24,1235.79227
168200,0.71031,2841,149.38,1236.93946
169000,0.71497,2860,149.64,1239.14453
169800,0.71918,2877,149.82,1240.64606
170600,0.72379,2895,150.05,1242.48688
171400,0.72795,2912,149.97,1241.88266
172200,0.73256,2930,150.42,1245.56904
173000,0.73705,2948,150.64,1247.37443
173800,0.74146,2966,150.79,1248.64956
174600,0.74594,2984,150.99,1250.29079
175400,0.75037,3001,151.21,1252.11738
176200,0.75492,3020,151.37,1253.46342
177000,0.75922,3037,151.43,1253.91650
177800,0.76395,3056,151.77,1256.75680
178600,0.76849,3074,151.93,1258.04793
179400,0.77298,3092,152.09,1259.40797
180200,0.77743,3110,152.30,1261.16337
181000,0.78194,3128,152.49,1262.75037
181800,0.78642,3146,152.70,1264.48058
182600,0.79081,3163,152.85,1265.73519
183400,0.79545,3182,153.05,1267.35885
184200,0.80003,3200,153.24,1268.94067
185000,0.80420,3217,153.26,1269.11567
185800,0.80895,3236,153.56,1271.56834
186600,0.81356,3254,153.74,1273.04438
187400,0.81773,3271,153.74,1273.10672
188200,0.82254,3290,154.09,1275.99824
189000,0.82719,3309,154.22,1277.03070
189800,0.83182,3327,154.38,1278.37126
190600,0.83585,3343,154.25,1277.30094
191400,0.84088,3364,154.75,1281.41476
192200,0.84551,3382,154.95,1283.05899
193000,0.84969,3399,155.02,1283.68358
193800,0.85459,3418,155.23,1285.44032
194600,0.85918,3437,155.36,1286.52325
195400,0.86344,3454,155.51,1287.74286
196200,0.86820,3473,155.64,1288.76660
197000,0.87282,3491,155.86,1290.63226
197800,0.87719,3509,156.00,1291.79698
198600,0.88177,3527,156.08,1292.47035
199400,0.88665,3547,156.32,1294.39830
200200,0.89102,3564,156.30,1294.26146
201000,0.89569,3583,156.62,1296.95587
201800,0.90058,3602,156.76,1298.07220
202600,0.90529,3621,156.91,1299.35650
203400,0.90974,3639,157.07,1300.62709
204200,0.91442,3658,157.09,1300.80262
205000,0.91917,3677,157.29,1302.50948
205800,0.92363,3695,157.46,1303.87907
206600,0.92823,3713,157.56,1304.73051
207400,0.93323,3733,157.77,1306.45051
208200,0.93770,3751,157.85,1307.11407
209000,0.94247,3770,158.03,1308.58897
209800,0.94681,3787,157.86,1307.17181
210600,0.95166,3807,158.03,1308.61123
211400,0.95648,3826,158.43,1311.87800
212200,0.96116,3845,158.46,1312.18824
213000,0.96609,3864,158.66,1313.82644
213800,0.97061,3882,158.79,1314.86992
214600,0.97551,3902,158.95,1316.18392
215400,0.98007,3920,158.85,1315.41243
216200,0.98498,3940,159.19,1318.24039
217000,0.98976,3959,159.30,1319.08805
217800,0.99443,3978,159.36,1319.64105
218600,0.99922,3997,159.52,1320.93594
219400,1.00407,4016,159.64,1321.93845
220200,1.00888,4036,159.78,1323.07253
221000,1.01355,4054,159.66,1322.09349
221800,1.01854,4074,160.03,1325.16681
222600,1.02338,4094,160.14,1326.04120
223400,1.02792,4112,160.10,1325.71326
