Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
224200,1.03305,4132,160.37,1327.96040
225000,1.03790,4152,160.45,1328.66513
225800,1.04260,4170,160.54,1329.36386
226600,1.04754,4190,160.66,1330.41302
227400,1.05259,4210,160.80,1331.51434
228200,1.05738,4230,160.91,1332.44332
229000,1.06144,4246,160.63,1330.16418
229800,1.06690,4268,161.07,1333.76902
230600,1.07185,4287,161.19,1334.80160
231400,1.07620,4305,161.05,1333.64656
232200,1.08143,4326,161.40,1336.54235
233000,1.08630,4345,161.48,1337.18248
233800,1.09096,4364,161.57,1337.88784
234600,1.09486,4379,161.15,1334.44830
235400,1.10060,4402,161.77,1339.56530
236200,1.10532,4421,161.87,1340.36651
237000,1.10928,4437,161.67,1338.77087
237800,1.11447,4458,161.98,1341.30949
238600,1.11920,4477,162.09,1342.23914
239400,0.90785,3631,153.38,1270.13140
240200,0.91087,3643,155.88,1290.79768
241000,0.91283,3651,157.31,1302.67424
241800,0.91479,3659,158.77,1314.73128
242600,0.91672,3667,159.94,1324.40244
243400,0.91838,3674,160.58,1329.71002
244200,0.92079,3683,161.06,1333.67668
245000,0.92374,3695,161.72,1339.13237
245800,0.92717,3709,162.09,1342.25352
246600,0.93054,3722,161.87,1340.39734
247400,0.93497,3740,162.49,1345.53009
248200,0.93929,3757,162.60,1346.46493
249000,0.94339,3774,162.52,1345.79207
249800,0.94784,3791,162.67,1347.03741
250600,0.95230,3809,162.81,1348.20014
251400,0.95679,3827,162.94,1349.22080
252200,0.96025,3841,162.17,1342.87692
253000,0.96570,3863,163.03,1350.01177
253800,0.97033,3881,163.16,1351.08130
254600,0.97476,3899,163.07,1350.32925
255400,0.97950,3918,163.30,1352.24021
256200,0.98432,3937,163.41,1353.11966
257000,0.98896,3956,163.45,1353.44277
257800,0.99321,3973,163.25,1351.82330
258600,0.99854,3994,163.64,1355.08979
259400,1.00335,4013,163.68,1355.37974
260200,1.00767,4031,163.48,1353.76649
261000,1.01294,4052,163.80,1356.38983
261800,1.01779,4071,163.84,1356.70127
262600,1.02228,4089,163.61,1354.82940
263400,1.02753,4110,163.91,1357.29359
264200,1.03274,4131,164.08,1358.73192
265000,1.03778,4151,164.12,1359.05993
265800,1.04203,4168,163.98,1357.85756
266600,1.04768,4191,164.26,1360.17816
267400,1.05279,4211,164.30,1360.54580
268200,1.05720,4229,164.22,1359.81502
269000,1.06281,4251,164.42,1361.48529
269800,1.06787,4271,164.49,1362.11483
270600,1.07231,4289,164.24,1360.03927
271400,1.07726,4309,164.28,1360.36620
272200,1.08306,4332,164.64,1363.37427
273000,1.08826,4353,164.70,1363.83432
273800,1.09263,4371,164.67,1363.54780
274600,1.09845,4394,164.84,1364.95859
275400,1.10362,4414,164.86,1365.17513
276200,1.10832,4433,164.89,1365.37070
277000,1.11316,4453,164.54,1362.54072
277800,1.11913,4477,165.03,1366.53730
278600,1.12382,4495,164.99,1366.24007
279400,1.12881,4515,164.97,1366.07846
280200,1.13480,4539,165.15,1367.53281
281000,1.13980,4559,165.06,1366.83875
281800,1.14483,4579,165.26,1368.44655
282600,1.14972,4599,164.70,1363.81653
283400,1.15591,4624,165.34,1369.14672
284200,1.16079,4643,165.38,1369.44408
285000,1.16589,4664,165.29,1368.72394
285800,1.17180,4687,165.48,1370.31228
286600,1.17658,4706,165.41,1369.74756
287400,1.18202,4728,165.59,1371.18536
288200,1.18733,4749,165.26,1368.43775
289000,1.19259,4770,165.34,1369.16934
289800,1.19812,4792,165.71,1372.22434
290600,1.20334,4813,165.54,1370.75422
291400,1.20935,4837,165.76,1372.58902
292200,1.21435,4857,165.79,1372.85039
293000,1.21974,4879,165.86,1373.45322
293800,1.22536,4901,165.70,1372.10599
294600,1.23042,4922,165.85,1373.38406
295400,1.23603,4944,165.96,1374.27771
296200,1.24135,4965,165.82,1373.13610
297000,1.24701,4988,165.91,1373.87550
297800,1.25367,5007,165.75,1372.49665
298600,1.25415,5006,165.30,1368.82452
299400,1.25341,5005,164.91,1365.55677
300200,1.25344,5005,164.77,1364.37678
301000,1.25330,5004,164.62,1363.16099
301800,1.25242,5003,164.24,1359.98264
302600,1.25279,5004,164.29,1360.41854
303400,1.25264,5004,164.20,1359.68647
304200,1.25301,5004,164.03,1358.25334
305000,1.25189,5003,163.91,1357.29415
305800,1.25200,5003,163.88,1357.01190
317100,1.25199,5003,163.11,1350.67773
317900,1.26678,5022,163.49,1353.82231
318700,1.27791,5037,164.43,1361.63325
319500,1.29177,5056,165.32,1368.94292
320300,1.30544,5074,165.73,1372.37801
321100,1.31890,5092,165.82,1373.06623
321900,1.33223,5110,166.13,1375.63330
322700,1.34609,5128,166.38,1377.77451
323500,1.35817,5144,166.31,1377.18621
324300,1.37143,5162,166.31,1377.20317
325100,1.38472,5180,166.61,1379.65978
325900,1.39811,5197,166.36,1377.56800
326700,1.41233,5216,166.70,1380.36865
327500,1.42519,5234,166.66,1380.09979
328300,1.43940,5253,166.71,1380.51327
329100,1.45225,5270,166.70,1380.37896
329900,1.46647,5289,166.52,1378.92422
330700,1.47929,5306,166.78,1381.03635
331500,1.49178,5322,166.71,1380.49717
332300,1.50538,5341,166.76,1380.88786
333100,1.51851,5358,166.78,1381.02503
333900,1.53256,5377,166.70,1380.36392
334700,1.54590,5395,166.86,1381.73478
335500,1.55977,5413,166.48,1378.58721
336300,1.57346,5431,166.44,1378.27583
337100,1.58530,5447,166.84,1381.52827
337900,1.59956,5466,166.74,1380.74278
338700,1.61297,5484,166.88,1381.87983
339500,1.62565,5501,166.82,1381.41071
340300,1.63972,5520,166.93,1382.32060
341100,1.65353,5538,166.47,1378.51385
341900,1.66574,5554,166.75,1380.81144
342700,1.67970,5573,166.95,1382.47582
343500,1.69292,5591,166.76,1380.88786
344300,1.70602,5608,166.67,1380.17661
345100,1.71966,5626,166.93,1382.31843
345900,1.73253,5643,166.96,1382.56239
346700,1.74722,5663,166.41,1377.98090
347500,1.75973,5680,166.93,1382.31603
348300,1.77210,5696,166.99,1382.77537
349100,1.78615,5715,166.82,1381.39196
349900,1.79879,5732,166.93,1382.33238
350700,1.81299,5751,167.01,1382.97539
351500,1.82604,5768,167.02,1383.04471
352300,1.83975,5786,166.28,1376.93618
353100,1.85315,5804,167.01,1382.97342
353900,1.86582,5821,167.01,1382.96768
354700,1.87856,5838,166.58,1379.36328
355500,1.89274,5857,167.00,1382.86693
356300,1.90716,5876,167.07,1383.44954
357100,1.91956,5893,167.05,1383.31986
357900,1.93278,5910,166.65,1379.97207
358700,1.94644,5929,167.06,1383.36555
359500,1.95847,5945,167.04,1383.19216
360300,1.97282,5964,166.83,1381.43348
361100,1.98558,5981,167.03,1383.16227
361900,2.00041,6001,167.05,1383.31430
362700,2.01260,6017,166.78,1381.06086
363500,2.02610,6035,166.77,1380.97630
364300,2.03959,6053,167.03,1383.09318
365100,2.05268,6070,167.05,1383.28751
365900,2.06639,6089,166.91,1382.13471
366700,2.07982,6106,167.03,1383.09113
367500,2.09232,6123,167.04,1383.17890
368300,2.10542,6141,166.99,1382.81833
369100,2.11932,6159,166.86,1381.70390
369900,2.13278,6177,167.03,1383.12436
370700,2.14618,6195,166.91,1382.14368
371500,2.15889,6212,166.84,1381.53352
372300,2.17382,6232,166.96,1382.51251
373100,2.18606,6248,166.67,1380.15405
373900,2.19946,6266,166.99,1382.75614
374700,2.21312,6284,166.89,1381.94442
375500,2.22626,6302,166.96,1382.50594
376300,2.23925,6319,166.91,1382.15038
377100,2.25342,6338,166.75,1380.81551
377900,2.26733,6356,166.92,1382.20509
378700,2.27833,6371,166.71,1380.46435
379500,2.29303,6391,166.89,1381.92749
380300,2.30592,6408,166.77,1380.99917
381100,2.31866,6425,166.56,1379.19750
381900,2.33310,6444,166.82,1381.39107
382700,2.34720,6463,166.55,1379.12960
383500,2.36076,6481,166.74,1380.72486
384300,2.37311,6497,166.67,1380.14548
385100,2.38628,6515,166.71,1380.44600
385900,2.39940,6533,166.62,1379.70777
386700,2.41209,6549,166.57,1379.28951
387500,2.42739,6570,166.64,1379.87842
388300,2.43960,6586,166.31,1377.17787
389100,2.45277,6604,166.45,1378.35389
389900,2.46572,6621,166.47,1378.50094
390700,2.47976,6640,166.40,1377.87410
391500,2.49321,6658,166.07,1375.17264
392300,2.50635,6675,166.31,1377.18368
393100,2.52031,6694,166.31,1377.18649
393900,2.53440,6713,165.96,1374.22421
394700,2.54610,6728,166.19,1376.18562
395500,2.55967,6746,166.15,1375.81401
396300,2.57308,6764,166.01,1374.66139
397100,2.58617,6782,165.88,1373.63249
397900,2.59931,6799,165.96,1374.22600
398700,2.61233,6816,165.91,1373.84570
399500,2.62670,6836,165.30,1368.80645
400300,2.63982,6853,165.71,1372.18375
401100,2.65284,6870,165.63,1371.54860
401900,2.66627,6888,165.49,1370.35865
402700,2.67979,6906,165.53,1370.66299
403500,2.69342,6925,165.41,1369.74109
404300,2.70663,6942,165.37,1369.38108
405100,2.72006,6960,164.96,1365.96699
405900,2.73276,6977,165.20,1367.97138
406700,2.74661,6995,165.08,1367.01585
407500,2.75929,7012,164.82,1364.83504
408300,2.77321,7031,164.90,1365.48013
409100,2.78630,7048,164.75,1364.27787
409900,2.80042,7067,164.30,1360.48593
410700,2.81345,7085,164.25,1360.13833
411500,2.82710,7103,164.49,1362.12944
412300,2.83984,7120,164.39,1361.23761
413100,2.85299,7137,164.18,1359.51473
413900,2.86671,7156,164.15,1359.28641
414700,2.87925,7172,164.01,1358.13033
415500,2.89368,7192,163.89,1357.10980
416300,2.90707,7209,163.41,1353.11574
417100,2.92076,7228,163.70,1355.55439
417900,2.93226,7243,163.37,1352.83642
418700,2.94627,7262,163.32,1352.43604
419500,2.95994,7280,163.31,1352.34337
420300,2.97260,7297,163.14,1350.89538
421100,2.98717,7316,163.12,1350.74285
421900,3.00050,7334,162.51,1345.65864
422700,3.01290,7351,162.81,1348.14621
423500,3.02533,7367,162.67,1347.05763
424300,3.03995,7387,162.48,1345.48756
425100,3.05283,7404,162.44,1345.09430
425900,3.06608,7421,162.19,1343.06537
426700,3.08030,7440,162.29,1343.85151
427500,3.09362,7458,161.59,1338.06177
428300,3.10638,7475,161.78,1339.69186
429100,3.11941,7493,161.86,1340.31182
429900,3.13305,7511,161.52,1337.49814
430700,3.14608,7528,161.36,1336.18912
431500,3.15930,7546,161.44,1336.82111
432300,3.17332,7564,161.19,1334.74222
433100,3.18631,7582,160.33,1327.60692
433900,3.19955,7599,161.03,1333.45531
434700,3.21330,7618,160.63,1330.13707
435500,3.22672,7636,160.41,1328.29921
436300,3.24004,7653,160.17,1326.34563
437100,3.25388,7672,159.79,1323.17558
437900,3.26682,7689,159.86,1323.71071
438700,3.28005,7707,159.28,1318.96809
439500,3.29294,7724,159.24,1318.63040
440300,3.30698,7743,159.10,1317.42539
441100,3.32018,7760,158.80,1314.97603
441900,3.33357,7778,158.24,1310.31720
442700,3.34657,7795,158.40,1311.66181
443500,3.35919,7812,158.05,1308.80137
444300,3.37394,7832,158.04,1308.66190
445100,3.38683,7849,157.65,1305.42945
445900,3.39898,7865,157.75,1306.30164
446700,3.41403,7885,157.40,1303.34371
447500,3.42613,7902,157.25,1302.11134
448300,3.43986,7920,156.87,1298.98927
449100,3.45308,7937,156.62,1296.91389
449900,3.46622,7955,156.57,1296.54406
450700,3.48035,7974,156.14,1292.95046
451500,3.49275,7990,155.84,1290.43944
452300,3.50738,8010,155.54,1287.98622
453100,3.52101,8028,155.30,1285.99234
453900,3.53326,8044,154.98,1283.30551
454700,3.54708,8063,154.85,1282.24957
455500,3.55993,8080,154.62,1280.32865
456300,3.57390,8099,154.48,1279.23210
457100,3.58653,8115,154.42,1278.70738
457900,3.59936,8132,154.24,1277.18268
458700,3.61313,8151,153.76,1273.20816
459500,3.62558,8167,153.94,1274.69051
460300,3.64037,8187,153.83,1273.80447
461100,3.65229,8203,153.55,1271.48439
461900,3.66665,8222,153.51,1271.18112
462700,3.67980,8240,153.32,1269.56468
463500,3.69394,8259,153.17,1268.36033
464300,3.70648,8275,152.86,1265.82727
465100,3.71968,8293,152.86,1265.76478
465900,3.73248,8310,152.66,1264.09656
466700,3.74692,8329,152.50,1262.76662
467500,3.75934,8346,152.33,1261.38272
468300,3.77335,8364,152.11,1259.56326
469100,3.78701,8383,151.87,1257.59341
469900,3.80047,8401,151.72,1256.36578
470700,3.81444,8419,151.48,1254.38777
