Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
1000,0.00162,6,1.93,15.96190
1800,0.00350,14,3.75,31.02123
2600,0.00551,22,5.77,47.81294
3400,0.00748,30,7.67,63.52958
4200,0.00930,37,9.50,78.70269
5000,0.01127,45,11.42,94.56512
5800,0.01338,54,13.44,111.27064
6600,0.01546,62,15.55,128.74631
7400,0.01749,70,17.49,144.84963
8200,0.01943,78,19.38,160.44678
9000,0.02139,86,21.29,176.30497
9800,0.02331,93,23.10,191.25283
10600,0.02533,101,25.01,207.10550
11400,0.02717,109,26.82,222.11791
12200,0.02926,117,28.83,238.77050
13000,0.03117,125,30.71,254.28122
13800,0.03304,132,32.57,269.67874
14600,0.03497,140,34.43,285.10248
15400,0.03695,148,36.31,300.66222
16200,0.03895,156,38.24,316.67048
17000,0.04094,164,40.09,332.01175
17800,0.04291,172,41.97,347.54833
18600,0.04493,180,43.91,363.58749
19400,0.04678,187,45.72,378.59881
20200,0.04879,195,47.61,394.22890
21000,0.05077,203,49.45,409.45130
21800,0.05270,211,51.28,424.63657
22600,0.05476,219,53.15,440.12733
23400,0.05671,227,55.04,455.74661
24200,0.05871,235,56.87,470.95879
25000,0.06070,243,58.73,486.32313
25800,0.06264,251,60.55,501.38428
26600,0.06466,259,62.38,516.55094
27400,0.06666,267,64.19,531.53256
28200,0.06859,274,65.97,546.29450
29000,0.07069,283,67.90,562.22407
29800,0.07267,291,69.67,576.93791
30600,0.07464,299,71.45,591.67553
31400,0.07662,306,73.24,606.46272
32200,0.07860,314,75.00,621.02074
33000,0.08069,323,76.79,635.90432
33800,0.08252,330,78.52,650.19051
34600,0.08460,338,80.31,664.98635
35400,0.08664,347,82.06,679.53963
36200,0.08868,355,83.81,693.99086
37000,0.09070,363,85.56,708.49250
37800,0.09273,371,87.25,722.47466
38600,0.09479,379,88.99,736.91659
39400,0.09666,387,90.56,749.85865
40200,0.09870,395,92.33,764.56716
41000,0.10091,404,94.08,779.02585
41800,0.10293,412,95.68,792.28952
42600,0.10506,420,97.32,805.86923
43400,0.10702,428,98.72,817.50974
44200,0.10953,438,100.34,830.85846
45000,0.11180,447,101.47,840.25580
45800,0.11365,455,102.42,848.11788
46600,0.11648,466,103.51,857.14895
47400,0.11947,478,104.44,864.81803
48200,0.12269,491,105.40,872.78437
49000,0.12583,503,106.21,879.47551
49800,0.12898,516,106.87,884.94781
50600,0.13190,528,107.59,890.90322
51400,0.13486,539,108.24,896.33987
52200,0.13871,555,109.04,902.89503
53000,0.14229,569,109.73,908.64393
53800,0.14565,583,110.26,913.00466
54600,0.14940,598,111.02,919.29254
55400,0.15299,612,111.58,923.97883
56200,0.15679,627,112.26,929.61189
57000,0.16029,641,112.84,934.39235
57800,0.16401,656,113.38,938.88002
58600,0.16782,671,113.95,943.61169
59400,0.17146,686,114.44,947.61238
60200,0.17531,701,115.04,952.65223
61000,0.17915,717,115.62,957.44349
61800,0.18297,732,116.12,961.55175
62600,0.18675,747,116.62,965.68790
63400,0.19012,760,116.98,968.69923
64200,0.19423,777,117.65,974.24695
65000,0.19813,793,118.12,978.10044
65800,0.20195,808,118.57,981.85598
66600,0.20558,822,118.99,985.32445
67400,0.20924,837,119.43,988.94345
68200,0.21331,853,119.99,993.63558
69000,0.21703,868,120.41,997.06854
69800,0.22057,882,120.66,999.14163
70600,0.22449,898,121.27,1004.18144
71400,0.22846,914,121.75,1008.13410
72200,0.23231,929,122.16,1011.60924
73000,0.23586,943,122.48,1014.23693
73800,0.23985,959,122.96,1018.18825
74600,0.24371,975,123.38,1021.69768
75400,0.24754,990,123.79,1025.07583
76200,0.25141,1006,124.22,1028.61343
77000,0.25540,1022,124.59,1031.70156
77800,0.25922,1037,124.94,1034.56202
78600,0.26319,1053,125.37,1038.18908
79400,0.26700,1068,125.74,1041.24854
80200,0.27121,1085,126.15,1044.63353
81000,0.27500,1100,126.49,1047.38839
81800,0.27879,1115,126.80,1049.98189
82600,0.28287,1131,127.28,1053.94566
83400,0.28682,1147,127.63,1056.83513
84200,0.29077,1163,127.99,1059.81210
85000,0.29448,1178,128.14,1061.08118
85800,0.29844,1194,128.61,1064.93973
86600,0.30284,1211,129.11,1069.14710
87400,0.30682,1227,129.45,1071.89584
88200,0.31060,1242,129.66,1073.65490
89000,0.31461,1258,130.10,1077.33363
89800,0.31857,1274,130.36,1079.50898
90600,0.32264,1291,130.78,1082.93025
91400,0.32637,1305,131.06,1085.28452
92200,0.33039,1322,131.32,1087.42600
93000,0.33470,1339,131.78,1091.20458
93800,0.33862,1354,132.12,1094.08634
94600,0.34260,1370,132.43,1096.63997
95400,0.34673,1387,132.81,1099.79842
96200,0.35075,1403,132.95,1100.89292
97000,0.35478,1419,133.41,1104.70303
97800,0.35871,1435,133.77,1107.70271
98600,0.36288,1452,134.08,1110.30552
99400,0.36686,1467,134.36,1112.61604
100200,0.37072,1483,134.64,1114.91582
101000,0.37463,1499,134.96,1117.60321
101800,0.37877,1515,135.31,1120.49521
102600,0.38312,1532,135.61,1122.95106
103400,0.38708,1548,135.88,1125.13965
104200,0.39080,1563,136.09,1126.94423
105000,0.39524,1581,136.50,1130.31271
105800,0.39920,1597,136.78,1132.63948
106600,0.40335,1613,137.10,1135.24545
107400,0.40710,1628,137.28,1136.80780
108200,0.41134,1645,137.65,1139.86242
109000,0.41550,1662,137.97,1142.46197
109800,0.41957,1678,138.22,1144.58379
110600,0.42343,1694,138.44,1146.37541
