Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
1000,0.00161,6,1.79,14.49212
1800,0.00338,14,3.58,29.04435
2600,0.00526,21,5.56,45.07067
3400,0.00715,29,7.54,61.13067
4200,0.00893,36,9.30,75.44640
5000,0.01096,44,11.45,92.83588
5800,0.01276,51,13.34,108.18597
6600,0.01455,58,15.20,123.28485
7400,0.01630,65,17.02,138.04419
8200,0.01816,73,18.92,153.47458
9000,0.01811,72,19.34,156.85167
9800,0.01955,78,20.91,169.57203
10600,0.01906,76,20.74,168.16166
11400,0.02077,83,22.49,182.40782
12200,0.02251,90,24.22,196.44177
13000,0.02418,97,25.99,210.77668
13800,0.02598,104,27.83,225.69393
14600,0.02757,110,29.48,239.03574
15400,0.02944,118,31.33,254.07046
16200,0.03096,124,32.99,267.54140
17000,0.03262,130,34.73,281.64213
17800,0.03440,138,36.48,295.86349
18600,0.03604,144,38.23,310.06437
19400,0.03771,151,39.90,323.57713
20200,0.03926,157,41.54,336.90816
21000,0.04070,163,43.03,348.99672
21800,0.04226,169,44.60,361.70982
22600,0.04383,175,46.20,374.64087
23400,0.04526,181,47.68,386.71336
24200,0.04680,187,49.25,399.36619
25000,0.04825,193,50.73,411.37904
25800,0.04965,199,52.19,423.28019
26600,0.05127,205,53.79,436.20081
27400,0.05267,211,55.29,448.40963
28200,0.05422,217,56.83,460.84742
29000,0.05579,223,58.41,473.71712
29800,0.05721,229,59.88,485.59823
30600,0.05872,235,61.47,498.49082
31400,0.06017,241,62.88,509.98192
32200,0.06166,247,64.42,522.39296
33000,0.06303,252,65.89,534.35222
33800,0.06438,258,67.31,545.86819
34600,0.06572,263,68.66,556.79405
35400,0.06721,269,70.13,568.73829
36200,0.06859,274,71.60,580.64618
37000,0.06996,280,73.03,592.27273
37800,0.07150,286,74.51,604.22376
38600,0.07270,291,75.78,614.54930
39400,0.07428,297,77.38,627.54053
40200,0.07567,303,78.77,638.83564
41000,0.07708,308,80.17,650.14906
41800,0.07840,314,81.59,661.64021
42600,0.07977,319,82.99,673.02307
43400,0.08113,325,84.38,684.28558
44200,0.08252,330,85.78,695.64963
45000,0.08370,335,87.03,705.81431
45800,0.08525,341,88.56,718.23804
46600,0.08653,346,89.85,728.70176
47400,0.08785,351,91.21,739.73053
48200,0.08918,357,92.52,750.34304
49000,0.09040,362,93.76,760.40688
49800,0.09172,367,95.09,771.13368
50600,0.09299,372,96.33,781.25006
51400,0.09420,377,97.47,790.47309
52200,0.09580,383,98.77,801.03237
53000,0.09746,390,99.82,809.53869
53800,0.09974,399,100.88,818.09703
54600,0.10280,411,101.85,825.98019
55400,0.10588,424,102.56,831.71650
56200,0.10935,437,103.37,838.30312
57000,0.11258,450,103.92,842.74619
57800,0.11557,462,104.63,848.53287
58600,0.11862,474,105.36,854.45416
59400,0.12152,486,106.07,860.16378
60200,0.12432,497,106.77,865.90322
61000,0.12743,510,107.50,871.83631
61800,0.13041,522,108.19,877.38221
62600,0.13320,533,108.86,882.81412
63400,0.13634,545,109.58,888.68526
64200,0.13911,556,110.14,893.17802
65000,0.14197,568,110.84,898.85333
65800,0.14503,580,111.41,903.47789
66600,0.14772,591,111.88,907.32581
67400,0.15083,603,112.57,912.89022
68200,0.15399,616,113.20,918.03960
69000,0.15673,627,113.68,921.91985
69800,0.16000,640,114.36,927.44990
70600,0.16314,653,114.79,930.89801
71400,0.16626,665,115.43,936.09221
72200,0.16960,678,116.00,940.74400
73000,0.17269,691,116.42,944.12375
73800,0.17588,704,117.01,948.88457
74600,0.17942,718,117.59,953.60707
75400,0.18269,731,118.03,957.19499
76200,0.18577,743,118.45,960.57588
77000,0.18951,758,119.09,965.82165
77800,0.19275,771,119.48,968.97660
78600,0.19582,783,119.93,972.59755
79400,0.19928,797,120.29,975.50955
80200,0.20287,811,120.90,980.49041
81000,0.20610,824,121.35,984.10821
81800,0.20955,838,121.73,987.16236
82600,0.21319,853,122.21,991.09487
83400,0.21633,865,122.64,994.55377
84200,0.21998,880,123.07,998.07733
85000,0.22325,893,123.41,1000.81027
85800,0.22668,907,123.93,1005.04145
86600,0.23029,921,124.31,1008.16432
87400,0.23373,935,124.69,1011.20621
88200,0.23711,948,125.02,1013.90960
89000,0.24086,963,125.54,1018.09659
89800,0.24430,977,125.90,1021.00693
90600,0.24763,991,126.23,1023.71884
91400,0.25156,1006,126.69,1027.45374
92200,0.25493,1020,127.02,1030.10862
93000,0.25828,1033,127.40,1033.17790
93800,0.26197,1048,127.62,1034.95763
94600,0.26570,1063,128.13,1039.12639
95400,0.26898,1076,128.49,1041.98993
96200,0.27262,1090,128.82,1044.70433
97000,0.27642,1106,129.24,1048.06995
97800,0.27988,1120,129.60,1051.04847
98600,0.28352,1134,129.95,1053.89094
99400,0.28706,1148,130.20,1055.85656
100200,0.29068,1163,130.69,1059.89510
101000,0.29436,1177,130.98,1062.21550
101800,0.29792,1192,131.33,1065.05357
102600,0.30143,1206,131.64,1067.53782
103400,0.30520,1221,132.03,1070.70617
104200,0.30878,1235,132.28,1072.77254
105000,0.31204,1248,132.52,1074.73826
105800,0.31608,1264,133.03,1078.86303
106600,0.31953,1278,133.27,1080.79615
107400,0.32285,1291,133.56,1083.16215
108200,0.32667,1307,133.85,1085.49482
109000,0.33038,1322,134.27,1088.89729
109800,0.33363,1335,134.53,1090.99047
110600,0.33743,1350,134.81,1093.28376
111400,0.34143,1366,135.23,1096.68277
112200,0.34467,1379,135.43,1098.32855
113000,0.34833,1393,135.77,1101.03124
113800,0.35192,1408,135.92,1102.29310
114600,0.35553,1422,136.37,1105.93665
115400,0.35911,1436,136.72,1108.78472
116200,0.36275,1451,136.90,1110.26364
117000,0.36624,1465,137.24,1113.01138
117800,0.36996,1480,137.59,1115.79305
118600,0.37375,1495,137.89,1118.29121
119400,0.37692,1508,137.85,1117.93584
120200,0.38090,1524,138.51,1123.30507
121000,0.38459,1538,138.72,1124.97815
121800,0.38798,1552,138.82,1125.83439
122600,0.39203,1568,139.39,1130.40482
123400,0.39575,1583,139.63,1132.35724
124200,0.39914,1597,139.70,1132.97231
125000,0.40262,1610,139.95,1134.98851
125800,0.40670,1627,140.49,1139.37485
126600,0.41028,1641,140.69,1140.95300
127400,0.41351,1654,140.89,1142.61527
128200,0.41760,1670,141.30,1145.92567
129000,0.42116,1685,141.56,1148.05525
129800,0.42446,1698,141.80,1149.96605
130600,0.42810,1712,141.90,1150.74770
131400,0.43199,1728,142.34,1154.30992
132200,0.43531,1741,142.57,1156.24139
133000,0.43905,1756,142.78,1157.93234
133800,0.44295,1772,143.17,1161.06601
134600,0.44621,1785,143.37,1162.71662
135400,0.45006,1800,143.69,1165.27275
136200,0.45364,1815,143.76,1165.82980
137000,0.45726,1829,144.17,1169.14785
137800,0.46085,1843,144.42,1171.17462
138600,0.46451,1858,144.58,1172.48877
139400,0.46809,1872,144.92,1175.22740
140200,0.47181,1887,145.20,1177.49713
141000,0.47547,1902,145.41,1179.20301
141800,0.47869,1915,145.41,1179.27627
142600,0.48275,1931,145.96,1183.70684
143400,0.48639,1946,146.15,1185.25348
144200,0.48984,1959,146.17,1185.43573
145000,0.49360,1974,146.64,1189.23948
145800,0.49746,1990,146.91,1191.42076
146600,0.50125,2005,147.18,1193.57793
147400,0.50451,2018,147.10,1192.92696
148200,0.50864,2035,147.70,1197.85164
149000,0.51232,2049,147.87,1199.18933
149800,0.51562,2062,147.98,1200.09648
150600,0.51970,2079,148.38,1203.28886
151400,0.52334,2093,148.57,1204.85690
152200,0.52665,2107,148.71,1206.02835
153000,0.53045,2122,148.86,1207.17868
153800,0.53440,2138,149.32,1210.92450
154600,0.53779,2151,149.46,1212.05602
155400,0.54136,2165,149.63,1213.45459
156200,0.54546,2182,149.98,1216.27390
157000,0.54879,2195,150.03,1216.71807
157800,0.55246,2210,150.37,1219.42809
158600,0.55635,2225,150.55,1220.93191
159400,0.56010,2240,150.87,1223.50554
160200,0.56348,2254,151.05,1225.00026
161000,0.56711,2268,151.16,1225.87199
